"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","2547788","","","","0"
"1991","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","2592306","","","","0"
"1992","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","2632672","","","","0"
"1993","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","2667292","","","","0"
"1994","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","2700606","","","","0"
"1995","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","2734519","","","","0"
"1996","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","2775133","","","","0"
"1997","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","2829848","","","","0"
"1998","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","2899066","","","","0"
"1999","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","2952692","","","","0"
"2000","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","3004198","","","","0"
"2001","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","3058554","","","","0"
"2002","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","3128757","","","","0"
"2003","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","3183291","","","","0"
"2004","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","3238817","","","","0"
"2005","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","3321839","","","","0"
"2006","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","3421435","","","","0"
"2007","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","3514151","","","","0"
"2008","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","3595875","","","","0"
"2009","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","3679010","","","","0"
"2010","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","3732104","","","","0"
"2011","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","3787705","","","","0"
"2012","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","3871947","","","","0"
"2013","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","3978532","","","","0"
"2014","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","4081271","","","","0"
"2015","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","4150147","","","","0"
"2016","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","4195427","","","","0"
"2017","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","4237310","","","","0"
"2018","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","4292556","","","","0"
"2019","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","4355377","","","","0"
"2020","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","4407495","","","","0"
"2021","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","4431531","","","","0"
"2022","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","4510891","","","","0"
"2023","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","4695290","","","","0"
"1990","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","211584","","","","0"
"1991","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","211536","","","","0"
"1992","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","213052","","","","0"
"1993","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","212232","","","","0"
"1994","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","208493","","","","0"
"1995","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","203075","","","","0"
"1996","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","199416","","","","0"
"1997","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","196964","","","","0"
"1998","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","196641","","","","0"
"1999","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","195366","","","","0"
"2000","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","193525","","","","0"
"2001","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","191504","","","","0"
"2002","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","192173","","","","0"
"2003","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","193959","","","","0"
"2004","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","196637","","","","0"
"2005","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","202099","","","","0"
"2006","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","209870","","","","0"
"2007","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","218736","","","","0"
"2008","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","227779","","","","0"
"2009","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","236243","","","","0"
"2010","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","244216","","","","0"
"2011","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","250412","","","","0"
"2012","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","256986","","","","0"
"2013","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","262905","","","","0"
