"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","3292111","","","","0"
"1991","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","3373787","","","","0"
"1992","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","3468802","","","","0"
"1993","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","3567772","","","","0"
"1994","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","3676075","","","","0"
"1995","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","3777390","","","","0"
"1996","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","3874317","","","","0"
"1997","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","3948583","","","","0"
"1998","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","3983113","","","","0"
"1999","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","4011375","","","","0"
"2000","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","4039230","","","","0"
"2001","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","4076896","","","","0"
"2002","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","4100504","","","","0"
"2003","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","4124447","","","","0"
"2004","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","4155630","","","","0"
"2005","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","4196076","","","","0"
"2006","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","4241793","","","","0"
"2007","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","4290987","","","","0"
"2008","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","4349338","","","","0"
"2009","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","4410513","","","","0"
"2010","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","4465557","","","","0"
"2011","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","4503819","","","","0"
"2012","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","4570866","","","","0"
"2013","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","4634943","","","","0"
"2014","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","4712691","","","","0"
"2015","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","4765472","","","","0"
"2016","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","4861269","","","","0"
"2017","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","4934202","","","","0"
"2018","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","5020979","","","","0"
"2019","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","5111022","","","","0"
