"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","27691138","","","","0"
"1991","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","28037420","","","","0"
"1992","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","28371264","","","","0"
"1993","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","28684764","","","","0"
"1994","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","29000663","","","","0"
"1995","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","29302311","","","","0"
"1996","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","29610218","","","","0"
"1997","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","29905948","","","","0"
"1998","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","30155173","","","","0"
"1999","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","30401286","","","","0"
"2000","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","30685730","","","","0"
"2001","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","31020855","","","","0"
"2002","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","31359199","","","","0"
"2003","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","31642461","","","","0"
"2004","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","31938807","","","","0"
"2005","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","32242732","","","","0"
"2006","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","32571193","","","","0"
"2007","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","32888886","","","","0"
"2008","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","33247298","","","","0"
"2009","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","33630069","","","","0"
"2010","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","34005902","","","","0"
"2011","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","34339221","","","","0"
"2012","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","34713395","","","","0"
"2013","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","35080992","","","","0"
"2014","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","35434066","","","","0"
"2015","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","35704498","","","","0"
"2016","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","36110803","","","","0"
"2017","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","36545075","","","","0"
"2018","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","37072620","","","","0"
"2019","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","37618495","","","","0"
"2020","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","38028638","","","","0"
"2021","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","38239864","","","","0"
"2022","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","38939056","","","","0"
"2023","Canada","2016A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","40097761","","","","0"
"1990","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1931287","","","","0"
"1991","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1958442","","","","0"
"1992","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1993416","","","","0"
"1993","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","2013667","","","","0"
"1994","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","2010454","","","","0"
"1995","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1984881","","","","0"
"1996","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1960594","","","","0"
"1997","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1916724","","","","0"
"1998","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1872025","","","","0"
"1999","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1828176","","","","0"
"2000","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1790699","","","","0"
"2001","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1754444","","","","0"
"2002","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1724179","","","","0"
"2003","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1706799","","","","0"
"2004","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1707164","","","","0"
"2005","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1710759","","","","0"
"2006","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1727885","","","","0"
"2007","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1756251","","","","0"
"2008","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1798257","","","","0"
"2009","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1837724","","","","0"
"2010","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1876494","","","","0"
"2011","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1899982","","","","0"
"2012","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1918726","","","","0"
"2013","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1926496","","","","0"
"2014","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1929371","","","","0"
"2015","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1930005","","","","0"
"2016","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1943799","","","","0"
"2017","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1948684","","","","0"
"2018","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1952216","","","","0"
"2019","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1949121","","","","0"
"2020","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1937161","","","","0"
"2021","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1902883","","","","0"
"2022","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1888740","","","","0"
"2023","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1881497","","","","0"
"1990","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1923491","","","","0"
"1991","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1934715","","","","0"
"1992","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1948334","","","","0"
"1993","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1954420","","","","0"
"1994","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1968145","","","","0"
"1995","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1991977","","","","0"
"1996","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2015880","","","","0"
"1997","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2040433","","","","0"
"1998","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2059856","","","","0"
"1999","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2056299","","","","0"
"2000","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2036949","","","","0"
"2001","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2016702","","","","0"
