"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","10295832","","","","0"
"1991","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","10431316","","","","0"
"1992","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","10572205","","","","0"
"1993","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","10690038","","","","0"
"1994","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","10819146","","","","0"
"1995","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","10950119","","","","0"
"1996","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","11082903","","","","0"
"1997","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","11227651","","","","0"
"1998","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","11365901","","","","0"
"1999","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","11504759","","","","0"
"2000","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","11683290","","","","0"
"2001","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","11897473","","","","0"
"2002","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","12093412","","","","0"
"2003","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","12243641","","","","0"
"2004","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","12389641","","","","0"
"2005","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","12527581","","","","0"
"2006","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","12661953","","","","0"
"2007","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","12765133","","","","0"
"2008","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","12883824","","","","0"
"2009","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","12998941","","","","0"
"2010","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","13136481","","","","0"
"2011","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","13262345","","","","0"
"2012","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","13392364","","","","0"
"2013","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","13511902","","","","0"
"2014","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","13617763","","","","0"
"2015","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","13709293","","","","0"
"2016","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","13876500","","","","0"
"2017","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","14078499","","","","0"
"2018","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","14326746","","","","0"
"2019","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","14573565","","","","0"
"2020","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","14761811","","","","0"
"2021","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","14842488","","","","0"
"2022","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","15145006","","","","0"
"2023","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","15608369","","","","0"
"1990","Ontario","2016A000235","Total - gender","0 to 4 years","Persons","249","units","0","v468774","7.1.7","719457","","","","0"
"1991","Ontario","2016A000235","Total - gender","0 to 4 years","Persons","249","units","0","v468774","7.1.7","732683","","","","0"
"1992","Ontario","2016A000235","Total - gender","0 to 4 years","Persons","249","units","0","v468774","7.1.7","749043","","","","0"
"1993","Ontario","2016A000235","Total - gender","0 to 4 years","Persons","249","units","0","v468774","7.1.7","758211","","","","0"
"1994","Ontario","2016A000235","Total - gender","0 to 4 years","Persons","249","units","0","v468774","7.1.7","760050","","","","0"
"1995","Ontario","2016A000235","Total - gender","0 to 4 years","Persons","249","units","0","v468774","7.1.7","756148","","","","0"
"1996","Ontario","2016A000235","Total - gender","0 to 4 years","Persons","249","units","0","v468774","7.1.7","754173","","","","0"
"1997","Ontario","2016A000235","Total - gender","0 to 4 years","Persons","249","units","0","v468774","7.1.7","740561","","","","0"
"1998","Ontario","2016A000235","Total - gender","0 to 4 years","Persons","249","units","0","v468774","7.1.7","728431","","","","0"
"1999","Ontario","2016A000235","Total - gender","0 to 4 years","Persons","249","units","0","v468774","7.1.7","716675","","","","0"
"2000","Ontario","2016A000235","Total - gender","0 to 4 years","Persons","249","units","0","v468774","7.1.7","708739","","","","0"
"2001","Ontario","2016A000235","Total - gender","0 to 4 years","Persons","249","units","0","v468774","7.1.7","702336","","","","0"
"2002","Ontario","2016A000235","Total - gender","0 to 4 years","Persons","249","units","0","v468774","7.1.7","691187","","","","0"
"2003","Ontario","2016A000235","Total - gender","0 to 4 years","Persons","249","units","0","v468774","7.1.7","681735","","","","0"
"2004","Ontario","2016A000235","Total - gender","0 to 4 years","Persons","249","units","0","v468774","7.1.7","681384","","","","0"
"2005","Ontario","2016A000235","Total - gender","0 to 4 years","Persons","249","units","0","v468774","7.1.7","683380","","","","0"
"2006","Ontario","2016A000235","Total - gender","0 to 4 years","Persons","249","units","0","v468774","7.1.7","688515","","","","0"
"2007","Ontario","2016A000235","Total - gender","0 to 4 years","Persons","249","units","0","v468774","7.1.7","693234","","","","0"
"2008","Ontario","2016A000235","Total - gender","0 to 4 years","Persons","249","units","0","v468774","7.1.7","702396","","","","0"
"2009","Ontario","2016A000235","Total - gender","0 to 4 years","Persons","249","units","0","v468774","7.1.7","708357","","","","0"
"2010","Ontario","2016A000235","Total - gender","0 to 4 years","Persons","249","units","0","v468774","7.1.7","715390","","","","0"
