"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","6996986","","","","0"
"1991","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","7067396","","","","0"
"1992","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","7110010","","","","0"
"1993","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","7156537","","","","0"
"1994","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","7192403","","","","0"
"1995","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","7219219","","","","0"
"1996","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","7246897","","","","0"
"1997","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","7274611","","","","0"
"1998","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","7295935","","","","0"
"1999","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","7323250","","","","0"
"2000","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","7356951","","","","0"
"2001","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","7396014","","","","0"
"2002","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","7441305","","","","0"
"2003","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","7485488","","","","0"
"2004","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","7535483","","","","0"
"2005","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","7581467","","","","0"
"2006","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","7631901","","","","0"
"2007","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","7692400","","","","0"
"2008","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","7761614","","","","0"
"2009","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","7843915","","","","0"
"2010","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","7929479","","","","0"
"2011","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","8004736","","","","0"
"2012","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","8059752","","","","0"
"2013","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","8108825","","","","0"
"2014","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","8147535","","","","0"
"2015","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","8175743","","","","0"
"2016","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","8225036","","","","0"
"2017","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","8292832","","","","0"
"2018","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","8386951","","","","0"
"2019","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","8483186","","","","0"
"2020","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","8551095","","","","0"
"2021","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","8572020","","","","0"
"2022","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","8672185","","","","0"
"2023","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","8874683","","","","0"
"1990","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","443521","","","","0"
"1991","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","456891","","","","0"
"1992","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","469694","","","","0"
"1993","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","478693","","","","0"
"1994","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","479435","","","","0"
"1995","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","470838","","","","0"
"1996","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","459161","","","","0"
"1997","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","443579","","","","0"
"1998","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","426809","","","","0"
"1999","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","410307","","","","0"
"2000","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","395809","","","","0"
"2001","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","381912","","","","0"
"2002","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","374022","","","","0"
"2003","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","370639","","","","0"
"2004","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","372256","","","","0"
"2005","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","372786","","","","0"
"2006","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","377053","","","","0"
"2007","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","385855","","","","0"
"2008","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","399444","","","","0"
"2009","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","414652","","","","0"
"2010","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","427950","","","","0"
"2011","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","436637","","","","0"
"2012","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","442459","","","","0"
"2013","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","445155","","","","0"
"2014","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","444513","","","","0"
"2015","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","442760","","","","0"
"2016","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","442624","","","","0"
"2017","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","441592","","","","0"
"2018","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","441178","","","","0"
