"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62464703","1.2.185","700.7","","","","1"
"1998","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62464703","1.2.185","633.2","","","","1"
"1999","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62464703","1.2.185","636.3","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62464703","1.2.185","636.0","","","","1"
"2001","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62464703","1.2.185","632.9","","","","1"
"2002","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62464703","1.2.185","636.9","","","","1"
"2003","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62464703","1.2.185","689.3","","","","1"
"2004","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62464703","1.2.185","659.3","","","","1"
"2005","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62464703","1.2.185","723.2","","","","1"
"2006","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62464703","1.2.185","745.4","","","","1"
"2007","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62464703","1.2.185","736.8","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62464703","1.2.185","751.4","","","","1"
"2009","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62464703","1.2.185","691.8","","","","1"
"2010","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62464703","1.2.185","721.3","","","","1"
"2011","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62464703","1.2.185","745.9","","","","1"
"2012","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62464703","1.2.185","793.6","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62464703","1.2.185","807.6","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62464703","1.2.185","885.4","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62464703","1.2.185","917.4","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62464703","1.2.185","955.2","","","","1"
"2017","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62464703","1.2.185","1007.3","","","","1"
"2018","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62464703","1.2.185","995.6","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62464703","1.2.185","1002.1","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62464703","1.2.185","795.1","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62464703","1.2.185","767.2","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62464703","1.2.185","881.1","","","","1"
"1997","Prince Edward Island","2016A000211","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465008","2.2.185","196.2","","","","1"
