"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62464704","1.2.186","89.2","","","","1"
"1998","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62464704","1.2.186","83.0","","","","1"
"1999","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62464704","1.2.186","74.4","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62464704","1.2.186","65.3","","","","1"
"2001","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62464704","1.2.186","46.7","","","","1"
"2002","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62464704","1.2.186","43.5","","","","1"
"2003","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62464704","1.2.186","43.6","","","","1"
"2004","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62464704","1.2.186","53.1","","","","1"
"2005","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62464704","1.2.186","62.1","","","","1"
"2006","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62464704","1.2.186","75.3","","","","1"
"2007","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62464704","1.2.186","76.1","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62464704","1.2.186","76.3","","","","1"
"2009","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62464704","1.2.186","66.7","","","","1"
"2010","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62464704","1.2.186","74.9","","","","1"
"2011","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62464704","1.2.186","87.9","","","","1"
"2012","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62464704","1.2.186","101.5","","","","1"
