"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170736","1.2.321","18284.9","","","","1"
"1998","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170736","1.2.321","19172.1","","","","1"
"1999","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170736","1.2.321","20332.3","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170736","1.2.321","21469.7","","","","1"
"2001","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170736","1.2.321","21942.8","","","","1"
"2002","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170736","1.2.321","25456.8","","","","1"
"2003","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170736","1.2.321","27153.7","","","","1"
"2004","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170736","1.2.321","26890.8","","","","1"
"2005","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170736","1.2.321","27576.1","","","","1"
"2006","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170736","1.2.321","28588.4","","","","1"
"2007","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170736","1.2.321","31833.9","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170736","1.2.321","31257.2","","","","1"
"2009","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170736","1.2.321","28315.3","","","","1"
"2010","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170736","1.2.321","29812.8","","","","1"
"2011","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170736","1.2.321","30693.5","","","","1"
"2012","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170736","1.2.321","29323.5","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170736","1.2.321","30799.7","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170736","1.2.321","30462.7","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170736","1.2.321","30132.5","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170736","1.2.321","30599.0","","","","1"
"2017","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170736","1.2.321","30983.0","","","","1"
"2018","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170736","1.2.321","30108.9","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170736","1.2.321","31283.3","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170736","1.2.321","29823.3","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170736","1.2.321","30098.4","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170736","1.2.321","29658.8","","","","1"
"1997","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170753","2.2.321","4106.5","","","","1"
"1998","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170753","2.2.321","4270.3","","","","1"
"1999","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170753","2.2.321","4445.7","","","","1"
"2000","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170753","2.2.321","4576.4","","","","1"
"2001","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170753","2.2.321","4519.0","","","","1"
"2002","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170753","2.2.321","4738.0","","","","1"
"2003","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170753","2.2.321","4820.2","","","","1"
"2004","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170753","2.2.321","4962.6","","","","1"
"2005","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170753","2.2.321","5120.2","","","","1"
"2006","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170753","2.2.321","5244.4","","","","1"
"2007","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170753","2.2.321","5220.1","","","","1"
"2008","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170753","2.2.321","5279.9","","","","1"
"2009","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170753","2.2.321","5289.6","","","","1"
"2010","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170753","2.2.321","5402.0","","","","1"
"2011","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170753","2.2.321","5505.8","","","","1"
"2012","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170753","2.2.321","5555.9","","","","1"
"2013","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170753","2.2.321","5660.6","","","","1"
"2014","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170753","2.2.321","5678.8","","","","1"
"2015","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170753","2.2.321","5758.0","","","","1"
"2016","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170753","2.2.321","5878.9","","","","1"
"2017","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries (except cannabis sector) [T020]","Dollars","81","millions","6","v1064170753","2.2.321","6140.7","","","","1"
