"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62464708","1.2.190","40.2","","","","1"
"1998","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62464708","1.2.190","41.1","","","","1"
"1999","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62464708","1.2.190","46.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62464708","1.2.190","48.7","","","","1"
"2001","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62464708","1.2.190","49.2","","","","1"
"2002","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62464708","1.2.190","50.3","","","","1"
"2003","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62464708","1.2.190","56.4","","","","1"
"2004","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62464708","1.2.190","55.1","","","","1"
"2005","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62464708","1.2.190","62.8","","","","1"
"2006","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62464708","1.2.190","55.8","","","","1"
"2007","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62464708","1.2.190","58.8","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62464708","1.2.190","62.9","","","","1"
"2009","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62464708","1.2.190","52.8","","","","1"
"2010","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62464708","1.2.190","54.8","","","","1"
"2011","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62464708","1.2.190","57.4","","","","1"
"2012","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62464708","1.2.190","62.6","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62464708","1.2.190","62.9","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62464708","1.2.190","63.9","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62464708","1.2.190","57.3","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62464708","1.2.190","61.7","","","","1"
