"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62464706","1.2.188","209.1","","","","1"
"1998","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62464706","1.2.188","131.6","","","","1"
"1999","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62464706","1.2.188","132.2","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62464706","1.2.188","165.7","","","","1"
"2001","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62464706","1.2.188","164.2","","","","1"
"2002","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62464706","1.2.188","171.5","","","","1"
"2003","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62464706","1.2.188","184.1","","","","1"
"2004","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62464706","1.2.188","169.8","","","","1"
"2005","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62464706","1.2.188","183.7","","","","1"
"2006","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62464706","1.2.188","182.5","","","","1"
"2007","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62464706","1.2.188","167.8","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62464706","1.2.188","185.0","","","","1"
"2009","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62464706","1.2.188","154.7","","","","1"
