"REF_DATE","GEO","DGUID","Sales taxes","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Alberta","2016A000248","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924651","10.1.1","103769.1","","","","1"
"2008","Alberta","2016A000248","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924651","10.1.1","109623.8","","","","1"
"2009","Alberta","2016A000248","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924651","10.1.1","108145.0","","","","1"
"2010","Alberta","2016A000248","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924651","10.1.1","113167.4","","","","1"
"2011","Alberta","2016A000248","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924651","10.1.1","119818.6","","","","1"
"2012","Alberta","2016A000248","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924651","10.1.1","126308.3","","","","1"
"2013","Alberta","2016A000248","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924651","10.1.1","134735.3","","","","1"
"2014","Alberta","2016A000248","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924651","10.1.1","143087.4","","","","1"
"2015","Alberta","2016A000248","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924651","10.1.1","145214.7","","","","1"
"2016","Alberta","2016A000248","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924651","10.1.1","145263.2","","","","1"
"2017","Alberta","2016A000248","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924651","10.1.1","150714.8","","","","1"
"2018","Alberta","2016A000248","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924651","10.1.1","155683.3","","","","1"
"2019","Alberta","2016A000248","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924651","10.1.1","158240.9","","","","1"
"2020","Alberta","2016A000248","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924651","10.1.1","149344.9","","","","1"
"2021","Alberta","2016A000248","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924651","10.1.1","160169.8","","","","1"
"2022","Alberta","2016A000248","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924651","10.1.1","173386.3","","","","1"
"2007","Alberta","2016A000248","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99924652","10.1.2","8603.6","","","","1"
"2008","Alberta","2016A000248","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99924652","10.1.2","9143.8","","","","1"
"2009","Alberta","2016A000248","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99924652","10.1.2","9746.3","","","","1"
"2010","Alberta","2016A000248","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99924652","10.1.2","9957.2","","","","1"
"2011","Alberta","2016A000248","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99924652","10.1.2","10443.9","","","","1"
"2012","Alberta","2016A000248","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99924652","10.1.2","10920.0","","","","1"
"2013","Alberta","2016A000248","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99924652","10.1.2","11605.3","","","","1"
