"REF_DATE","GEO","DGUID","Sales taxes","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","British Columbia","2016A000259","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924987","11.1.1","113214.2","","","","1"
"2008","British Columbia","2016A000259","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924987","11.1.1","118222.5","","","","1"
"2009","British Columbia","2016A000259","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924987","11.1.1","119863.8","","","","1"
"2010","British Columbia","2016A000259","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924987","11.1.1","125389.2","","","","1"
"2011","British Columbia","2016A000259","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924987","11.1.1","130013.6","","","","1"
"2012","British Columbia","2016A000259","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924987","11.1.1","134130.2","","","","1"
"2013","British Columbia","2016A000259","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924987","11.1.1","139404.9","","","","1"
"2014","British Columbia","2016A000259","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924987","11.1.1","146794.0","","","","1"
"2015","British Columbia","2016A000259","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924987","11.1.1","154573.5","","","","1"
"2016","British Columbia","2016A000259","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924987","11.1.1","161091.8","","","","1"
"2017","British Columbia","2016A000259","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924987","11.1.1","170727.5","","","","1"
"2018","British Columbia","2016A000259","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924987","11.1.1","179338.7","","","","1"
"2019","British Columbia","2016A000259","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924987","11.1.1","186645.6","","","","1"
"2020","British Columbia","2016A000259","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924987","11.1.1","181759.1","","","","1"
"2021","British Columbia","2016A000259","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924987","11.1.1","198398.2","","","","1"
"2022","British Columbia","2016A000259","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99924987","11.1.1","218111.7","","","","1"
"2007","British Columbia","2016A000259","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99924988","11.1.2","10376.2","","","","1"
"2008","British Columbia","2016A000259","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99924988","11.1.2","10964.6","","","","1"
"2009","British Columbia","2016A000259","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99924988","11.1.2","11631.0","","","","1"
"2010","British Columbia","2016A000259","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99924988","11.1.2","11810.4","","","","1"
"2011","British Columbia","2016A000259","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99924988","11.1.2","12034.9","","","","1"
"2012","British Columbia","2016A000259","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99924988","11.1.2","12344.5","","","","1"
"2013","British Columbia","2016A000259","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99924988","11.1.2","12781.3","","","","1"
