"REF_DATE","GEO","DGUID","Sales taxes","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Canada","2016A000011124","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99921627","1.1.1","796476.3","","","","1"
"2008","Canada","2016A000011124","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99921627","1.1.1","835034.1","","","","1"
"2009","Canada","2016A000011124","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99921627","1.1.1","838398.3","","","","1"
"2010","Canada","2016A000011124","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99921627","1.1.1","879236.9","","","","1"
"2011","Canada","2016A000011124","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99921627","1.1.1","915409.4","","","","1"
"2012","Canada","2016A000011124","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99921627","1.1.1","944390.4","","","","1"
"2013","Canada","2016A000011124","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99921627","1.1.1","983280.9","","","","1"
"2014","Canada","2016A000011124","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99921627","1.1.1","1029220.8","","","","1"
"2015","Canada","2016A000011124","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99921627","1.1.1","1063532.3","","","","1"
"2016","Canada","2016A000011124","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99921627","1.1.1","1093066.6","","","","1"
"2017","Canada","2016A000011124","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99921627","1.1.1","1144709.2","","","","1"
"2018","Canada","2016A000011124","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99921627","1.1.1","1192425.1","","","","1"
