"REF_DATE","GEO","DGUID","Sales taxes","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Ontario","2016A000235","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923643","7.1.1","311295.9","","","","1"
"2008","Ontario","2016A000235","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923643","7.1.1","324465.3","","","","1"
"2009","Ontario","2016A000235","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923643","7.1.1","323675.4","","","","1"
"2010","Ontario","2016A000235","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923643","7.1.1","339601.7","","","","1"
"2011","Ontario","2016A000235","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923643","7.1.1","352507.9","","","","1"
"2012","Ontario","2016A000235","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923643","7.1.1","361874.3","","","","1"
"2013","Ontario","2016A000235","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923643","7.1.1","375046.0","","","","1"
"2014","Ontario","2016A000235","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923643","7.1.1","393184.0","","","","1"
"2015","Ontario","2016A000235","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923643","7.1.1","409979.2","","","","1"
"2016","Ontario","2016A000235","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923643","7.1.1","424588.8","","","","1"
"2017","Ontario","2016A000235","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923643","7.1.1","446697.2","","","","1"
"2018","Ontario","2016A000235","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923643","7.1.1","467385.6","","","","1"
"2019","Ontario","2016A000235","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923643","7.1.1","484032.3","","","","1"
"2020","Ontario","2016A000235","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923643","7.1.1","448572.8","","","","1"
"2021","Ontario","2016A000235","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923643","7.1.1","481677.1","","","","1"
