"REF_DATE","GEO","DGUID","Sales taxes","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Quebec","2016A000224","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923307","6.1.1","164478.0","","","","1"
"2008","Quebec","2016A000224","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923307","6.1.1","172595.3","","","","1"
"2009","Quebec","2016A000224","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923307","6.1.1","174195.7","","","","1"
"2010","Quebec","2016A000224","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923307","6.1.1","182942.5","","","","1"
"2011","Quebec","2016A000224","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923307","6.1.1","189265.9","","","","1"
"2012","Quebec","2016A000224","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923307","6.1.1","193646.3","","","","1"
"2013","Quebec","2016A000224","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923307","6.1.1","200259.7","","","","1"
"2014","Quebec","2016A000224","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923307","6.1.1","207109.8","","","","1"
"2015","Quebec","2016A000224","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923307","6.1.1","212178.1","","","","1"
"2016","Quebec","2016A000224","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923307","6.1.1","218082.8","","","","1"
"2017","Quebec","2016A000224","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923307","6.1.1","227434.2","","","","1"
"2018","Quebec","2016A000224","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923307","6.1.1","236317.5","","","","1"
"2019","Quebec","2016A000224","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923307","6.1.1","244488.1","","","","1"
"2020","Quebec","2016A000224","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923307","6.1.1","232137.9","","","","1"
"2021","Quebec","2016A000224","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923307","6.1.1","252568.9","","","","1"
"2022","Quebec","2016A000224","Excluding sales taxes","Household final consumption expenditure","Dollars","81","millions","6","v99923307","6.1.1","279254.0","","","","1"
"2007","Quebec","2016A000224","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99923308","6.1.2","17749.0","","","","1"
"2008","Quebec","2016A000224","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99923308","6.1.2","18644.6","","","","1"
"2009","Quebec","2016A000224","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99923308","6.1.2","19757.4","","","","1"
"2010","Quebec","2016A000224","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99923308","6.1.2","20212.6","","","","1"
"2011","Quebec","2016A000224","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99923308","6.1.2","20733.4","","","","1"
"2012","Quebec","2016A000224","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99923308","6.1.2","20962.8","","","","1"
"2013","Quebec","2016A000224","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99923308","6.1.2","21386.4","","","","1"
"2014","Quebec","2016A000224","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99923308","6.1.2","21858.5","","","","1"
"2015","Quebec","2016A000224","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99923308","6.1.2","22410.3","","","","1"
"2016","Quebec","2016A000224","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99923308","6.1.2","23024.6","","","","1"
"2017","Quebec","2016A000224","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99923308","6.1.2","23995.5","","","","1"
"2018","Quebec","2016A000224","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99923308","6.1.2","24846.2","","","","1"
"2019","Quebec","2016A000224","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99923308","6.1.2","26292.8","","","","1"
"2020","Quebec","2016A000224","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99923308","6.1.2","28737.5","","","","1"
"2021","Quebec","2016A000224","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99923308","6.1.2","29158.9","","","","1"
"2022","Quebec","2016A000224","Excluding sales taxes","Food and non-alcoholic beverages","Dollars","81","millions","6","v99923308","6.1.2","31405.8","","","","1"
"2007","Quebec","2016A000224","Excluding sales taxes","Food","Dollars","81","millions","6","v99923309","6.1.3","15757.0","","","","1"
"2008","Quebec","2016A000224","Excluding sales taxes","Food","Dollars","81","millions","6","v99923309","6.1.3","16597.6","","","","1"
"2009","Quebec","2016A000224","Excluding sales taxes","Food","Dollars","81","millions","6","v99923309","6.1.3","17582.4","","","","1"
"2010","Quebec","2016A000224","Excluding sales taxes","Food","Dollars","81","millions","6","v99923309","6.1.3","17969.2","","","","1"
"2011","Quebec","2016A000224","Excluding sales taxes","Food","Dollars","81","millions","6","v99923309","6.1.3","18401.9","","","","1"
"2012","Quebec","2016A000224","Excluding sales taxes","Food","Dollars","81","millions","6","v99923309","6.1.3","18639.4","","","","1"
"2013","Quebec","2016A000224","Excluding sales taxes","Food","Dollars","81","millions","6","v99923309","6.1.3","19078.2","","","","1"
"2014","Quebec","2016A000224","Excluding sales taxes","Food","Dollars","81","millions","6","v99923309","6.1.3","19530.9","","","","1"
"2015","Quebec","2016A000224","Excluding sales taxes","Food","Dollars","81","millions","6","v99923309","6.1.3","20043.3","","","","1"
"2016","Quebec","2016A000224","Excluding sales taxes","Food","Dollars","81","millions","6","v99923309","6.1.3","20587.3","","","","1"
"2017","Quebec","2016A000224","Excluding sales taxes","Food","Dollars","81","millions","6","v99923309","6.1.3","21519.2","","","","1"
"2018","Quebec","2016A000224","Excluding sales taxes","Food","Dollars","81","millions","6","v99923309","6.1.3","22234.7","","","","1"
"2019","Quebec","2016A000224","Excluding sales taxes","Food","Dollars","81","millions","6","v99923309","6.1.3","23536.4","","","","1"
"2020","Quebec","2016A000224","Excluding sales taxes","Food","Dollars","81","millions","6","v99923309","6.1.3","25727.1","","","","1"
"2021","Quebec","2016A000224","Excluding sales taxes","Food","Dollars","81","millions","6","v99923309","6.1.3","25979.7","","","","1"
"2022","Quebec","2016A000224","Excluding sales taxes","Food","Dollars","81","millions","6","v99923309","6.1.3","27553.1","","","","1"
"2007","Quebec","2016A000224","Excluding sales taxes","Non-alcoholic beverages","Dollars","81","millions","6","v99923310","6.1.4","1992.0","","","","1"
"2008","Quebec","2016A000224","Excluding sales taxes","Non-alcoholic beverages","Dollars","81","millions","6","v99923310","6.1.4","2047.0","","","","1"
"2009","Quebec","2016A000224","Excluding sales taxes","Non-alcoholic beverages","Dollars","81","millions","6","v99923310","6.1.4","2175.1","","","","1"
"2010","Quebec","2016A000224","Excluding sales taxes","Non-alcoholic beverages","Dollars","81","millions","6","v99923310","6.1.4","2243.4","","","","1"
"2011","Quebec","2016A000224","Excluding sales taxes","Non-alcoholic beverages","Dollars","81","millions","6","v99923310","6.1.4","2331.4","","","","1"
"2012","Quebec","2016A000224","Excluding sales taxes","Non-alcoholic beverages","Dollars","81","millions","6","v99923310","6.1.4","2323.5","","","","1"
"2013","Quebec","2016A000224","Excluding sales taxes","Non-alcoholic beverages","Dollars","81","millions","6","v99923310","6.1.4","2308.2","","","","1"
"2014","Quebec","2016A000224","Excluding sales taxes","Non-alcoholic beverages","Dollars","81","millions","6","v99923310","6.1.4","2327.5","","","","1"
"2015","Quebec","2016A000224","Excluding sales taxes","Non-alcoholic beverages","Dollars","81","millions","6","v99923310","6.1.4","2367.1","","","","1"
"2016","Quebec","2016A000224","Excluding sales taxes","Non-alcoholic beverages","Dollars","81","millions","6","v99923310","6.1.4","2437.2","","","","1"
"2017","Quebec","2016A000224","Excluding sales taxes","Non-alcoholic beverages","Dollars","81","millions","6","v99923310","6.1.4","2476.4","","","","1"
"2018","Quebec","2016A000224","Excluding sales taxes","Non-alcoholic beverages","Dollars","81","millions","6","v99923310","6.1.4","2611.5","","","","1"
