date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2024-03-21,-2.1,-6.27,-5.35,-8.6,,-13,87,82.5,80.5,74,-6.4,-8.8,-8.4,-10.4,15,8.29,8,1,27,3,102.55,101.94,102.05,101.54,86.12,85.62,85.7,85.28,,,,,,,,,23.4,0,0,0,0,3.1,,,4,07:41:00,1711028460,7.68,19:59:00,1711072740,19.98,12.3,1,1,-1,-1,-10,-7,,,,,,,,,,,,,
2024-03-20,-0.6,-3.82,-4.05,-7.5,,-12,87,80.7,80,73,-3.8,-6.7,-6.9,-10,15,10.96,11.5,8,31,7,101.93,101.72,101.74,101.54,85.74,85.58,85.62,85.5,,,,,,,,,22.1,0,0,0,0,3.1,,,,07:43:00,1710942180,7.72,19:57:00,1710986220,19.95,12.23,1,1,1,1,-6,-6,,,,,,,,,,,,,
2024-03-19,8.4,2.55,3.05,-2.3,,-4,83,58.9,60.5,38,-2.9,-5.1,-5,-7.1,17,8.88,9,1,39,8,102.18,101.97,101.94,101.71,86.15,85.98,85.97,85.79,,,,,,,,,14.9,0,0,0,0,0.1,,,,07:45:00,1710855900,7.75,19:55:00,1710899700,19.92,12.17,3,3,6,6,-3,-3,,,,,,,,,,,,,
2024-03-18,15.8,5.82,6.45,-2.9,,-4,81,52.7,53,25,-3.1,-4.4,-4.2,-5.4,16,7.5,9,2,35,19,102.57,102.15,102.2,101.84,86.4,86.18,86.17,85.93,,,,,,,,,11.6,0,1.4,0,0,0,,,1,07:48:00,1710769680,7.8,19:54:00,1710813240,19.9,12.1,3,3,14,14,-3,-3,,,,,,,,,,,,,
2024-03-17,16,4.81,6.15,-3.7,,-6,86,55.9,53.5,21,-3.3,-4.9,-4.8,-6.2,15,7.42,7.5,0,31,22,102.93,102.56,102.55,102.17,86.73,86.47,86.47,86.2,,,,,,,,,11.8,0,1.1,0,0,0,,,7,07:50:00,1710683400,7.83,19:52:00,1710726720,19.87,12.03,3,3,15,15,0,1,,,,,,,,,,,,,
2024-03-16,15.3,4.03,5.8,-3.7,,-4,92,61,57.5,23,-3.1,-4.2,-5,-6.9,8,4,4.5,1,,,102.87,102.57,102.58,102.29,86.68,86.47,86.51,86.33,,,,,,,,,12.2,0,0.8,0,0,0,,,10,07:52:00,1710597120,7.87,19:50:00,1710640200,19.83,11.97,3,3,13,13,-1,-1,,,,,,,,,,,,,
2024-03-15,12.9,4.05,5.45,-2,,-5,74,56.5,53,32,-2.2,-4.4,-4,-5.9,14,7.62,8,2,,,102.87,102.59,102.56,102.24,86.65,86.47,86.45,86.25,,,,,,,,,12.6,0,0.4,0,0,0,,,14,07:54:00,1710510840,7.9,19:49:00,1710553740,19.82,11.92,3,3,11,11,-2,-2,,,,,,,,,,,,,
2024-03-14,7.2,0.25,-0.1,-7.4,,-9,71,53.2,52.5,34,-5.3,-8.6,-8.2,-11.2,17,8.88,9.5,2,33,23,103.38,102.98,103.03,102.69,86.94,86.68,86.71,86.48,,,,,,,,,18.1,0,0,0,0,0,,,15,07:57:00,1710424620,7.95,19:47:00,1710467220,19.78,11.83,2,2,7,7,-2,-2,,,,,,,,,,,,,
2024-03-13,6.1,-1.35,-1.5,-9.1,,-11,87,61.1,60,33,-6.6,-8.6,-8.2,-9.9,14,5.5,7.5,1,,,102.87,102.16,102.06,101.25,86.56,85.96,85.9,85.24,,,,,,,,,19.5,0,0,0,0,0,,,16,07:59:00,1710338340,7.98,19:45:00,1710380700,19.75,11.77,2,2,6,6,-9,-8,,,,,,,,,,,,,
2024-03-12,5.8,0.35,0.89,-4,,-6,85,66.5,62.5,40,-4,-5.7,-5.8,-7.5,16,8.38,8.5,1,29,23,101.17,100.63,100.76,100.36,85.19,84.72,84.84,84.49,,,,,,,,,17.1,0,0,0,0,0,,,17,08:01:00,1710252060,8.02,19:44:00,1710294240,19.73,11.72,2,2,6,6,-6,-6,,,,,,,,,,,,,
