date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2024-03-01,-5.74,2.08,26,"1998-03-01 2023-03-01",84.81,3.64,26,"1998-03-01 2023-03-01",3.47,2.52,30,"1994-03-01 2023-03-01",16.51,1.41,26,"1998-03-01 2023-03-01",-12.84,2.77,26,"1998-03-01 2023-03-01",39.6,5.27,26,"1998-03-01 2023-03-01",-8.37,3.15,30,"1994-03-01 2023-03-01",2.05,0.98,26,"1998-03-01 2023-03-01",27.58,14.65,28,"1994-03-01 2023-03-01",,,,,,,,,16.2,11.13,27,"1994-03-01 2023-03-01",,,,
2024-02-01,-8.9,2.86,26,"1998-02-01 2023-02-01",84.54,4.27,26,"1998-02-01 2023-02-01",-1,3.32,30,"1994-02-01 2023-02-01",16.39,1.47,26,"1998-02-01 2023-02-01",-16.43,4.18,26,"1998-02-01 2023-02-01",45.88,3.99,26,"1998-02-01 2023-02-01",-12.99,4.19,30,"1994-02-01 2023-02-01",2.65,0.99,26,"1998-02-01 2023-02-01",19.81,10.57,28,"1994-02-01 2023-02-01",,,,,,,,,22.1,9.14,27,"1994-02-01 2023-02-01",,,,
2024-01-01,-8.56,1.8,26,"1998-01-01 2023-01-01",86.58,3.56,26,"1998-01-01 2023-01-01",-3.29,2.19,30,"1994-01-01 2023-01-01",17.27,1.67,26,"1998-01-01 2023-01-01",-15.58,2.44,26,"1998-01-01 2023-01-01",58.22,4.16,26,"1998-01-01 2023-01-01",-13.22,3.04,30,"1994-01-01 2023-01-01",4.01,0.91,26,"1998-01-01 2023-01-01",18.97,10.28,29,"1994-01-01 2023-01-01",,,,,,,,,20.6,7.67,26,"1994-01-01 2023-01-01",,,,
2023-12-01,-9.54,2.32,26,"1997-12-01 2022-12-01",87.14,2.15,26,"1997-12-01 2022-12-01",-4.84,2.61,30,"1993-12-01 2022-12-01",16.7,1.65,26,"1997-12-01 2022-12-01",-16.32,3.14,26,"1997-12-01 2022-12-01",61.34,3.18,26,"1997-12-01 2022-12-01",-13.76,3.38,30,"1993-12-01 2022-12-01",3.99,0.91,26,"1997-12-01 2022-12-01",25.44,14.47,30,"1993-12-01 2022-12-01",,,,,,,,,14.7,6.81,26,"1993-12-01 2022-12-01",,,,
2023-11-01,-5.12,2.16,25,"1998-11-01 2022-11-01",88.36,3.43,25,"1998-11-01 2022-11-01",0.53,2.49,30,"1993-11-01 2022-11-01",16.52,1.08,25,"1998-11-01 2022-11-01",-11.1,2.75,25,"1998-11-01 2022-11-01",55.89,4.88,25,"1998-11-01 2022-11-01",-8.28,2.84,30,"1993-11-01 2022-11-01",3.73,0.88,25,"1998-11-01 2022-11-01",29.84,17.74,29,"1993-11-01 2022-11-01",,,,,,,,,7.1,4.83,27,"1993-11-01 2022-11-01",,,,
2023-10-01,-0.48,1.6,25,"1998-10-01 2022-10-01",87.76,3.85,25,"1998-10-01 2022-10-01",9.27,2.21,30,"1993-10-01 2022-10-01",15.72,1.66,25,"1998-10-01 2022-10-01",-6.15,1.79,25,"1998-10-01 2022-10-01",42.74,6.99,25,"1998-10-01 2022-10-01",-2.27,1.57,30,"1993-10-01 2022-10-01",2.43,0.84,25,"1998-10-01 2022-10-01",32.21,15.6,30,"1993-10-01 2022-10-01",,,,,,,,,3.3,3.67,20,"1993-10-01 2022-10-01",,,,
2023-09-01,4.51,0.92,25,"1998-09-01 2022-09-01",89.69,4.34,25,"1998-09-01 2022-09-01",16.87,2.47,30,"1993-09-01 2022-09-01",15.24,1.48,25,"1998-09-01 2022-09-01",-1.02,1.13,25,"1998-09-01 2022-09-01",38.17,7.13,25,"1998-09-01 2022-09-01",2.26,1.06,30,"1993-09-01 2022-09-01",1.23,0.65,25,"1998-09-01 2022-09-01",43.51,23.23,30,"1993-09-01 2022-09-01",,,,,,,,,0.8,2.21,16,"1993-09-01 2019-09-01",,,,
2023-08-01,8.05,1.21,25,"1998-08-01 2022-08-01",88.18,4.3,25,"1998-08-01 2022-08-01",22.19,1.82,30,"1993-08-01 2022-08-01",16.18,2.65,26,"1994-08-01 2022-08-01",1.78,1.6,25,"1998-08-01 2022-08-01",32.1,5.8,25,"1998-08-01 2022-08-01",5.88,1.19,30,"1993-08-01 2022-08-01",1.67,5.29,26,"1994-08-01 2022-08-01",44.68,25.8,30,"1993-08-01 2022-08-01",,,,,,,,,0,0,12,"1993-08-01 2007-08-01",,,,
2023-07-01,8.67,1.37,25,"1998-07-01 2022-07-01",86.5,4.58,25,"1998-07-01 2022-07-01",22.84,2.34,30,"1993-07-01 2022-07-01",16.3,1.21,25,"1998-07-01 2022-07-01",1.83,1.51,25,"1998-07-01 2022-07-01",30.55,5.75,25,"1998-07-01 2022-07-01",6.92,1.1,30,"1993-07-01 2022-07-01",0.86,0.46,25,"1998-07-01 2022-07-01",40.4,30.6,30,"1993-07-01 2022-07-01",,,,,,,,,0,0,12,"1993-07-01 2007-07-01",,,,
2023-06-01,6.3,1.03,25,"1998-06-01 2022-06-01",89.02,4.59,25,"1998-06-01 2022-06-01",18.01,1.53,30,"1993-06-01 2022-06-01",15.53,0.96,25,"1998-06-01 2022-06-01",0.16,1.25,25,"1998-06-01 2022-06-01",37.54,6.57,25,"1998-06-01 2022-06-01",4.43,0.8,30,"1993-06-01 2022-06-01",0.79,0.44,25,"1998-06-01 2022-06-01",69.59,40.09,30,"1993-06-01 2022-06-01",,,,,,,,,1.2,2.15,19,"1993-06-01 2013-06-01",,,,
