date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2024-03-21,-4.4,-8.11,-7.15,-9.9,,-17,89,81,78,67,-8.8,-10.9,-10.5,-12.2,23,11.04,12,1,42,2,103.01,102.45,102.54,102.07,89.85,89.34,89.41,88.97,16100,7675,8450,800,3.2,2.8,2.8,2.4,25.1,0,0,0,0,7.6,0,7.6,17,07:35:00,1711028100,7.58,19:53:00,1711072380,19.88,12.3,1,1,-6,-6,-10,-9,,,,,,8,6.9,4.5,1,,,,
2024-03-20,-2.8,-6.83,-6.1,-9.4,,-18,94,87.2,86.5,79,-4.6,-8.6,-7.9,-11.2,29,22.42,21.5,14,43,11,102.57,102.4,102.38,102.19,89.35,89.21,89.22,89.09,14500,2987.5,7650,800,2.7,2.3,2.2,1.8,24.1,0,0,0,0,13.9,0,16.1,6,07:37:00,1710941820,7.62,19:51:00,1710985860,19.85,12.23,1,1,-6,-5,-9,-9,,,,,,8,4.9,4.5,1,,,,
2024-03-19,5.6,1.45,1.35,-2.9,,-10,91,69,72,53,-2.2,-3.8,-3.9,-5.6,29,17.62,19,9,43,9,102.56,102.43,102.34,102.12,89.57,89.46,89.44,89.31,64400,27754.2,35400,6400,3.8,2.6,2.8,1.9,16.6,0,0,0,0,0.4,0,0.4,0,07:39:00,1710855540,7.65,19:49:00,1710899340,19.82,12.17,3,3,5,5,-5,-5,,,,,,8,6.3,4.5,1,,,,
2024-03-18,16.5,10.69,10.3,4.1,,,61,39.7,44.5,28,-0.4,-2.9,-2.6,-4.8,25,14.96,16.5,8,42,11,102.19,101.93,101.93,101.67,89.43,89.18,89.17,88.91,64400,36875,40250,16100,3.7,2.9,3.1,2.6,7.7,0,5.3,3.3,0.3,0,0,0,0,07:42:00,1710769320,7.7,19:48:00,1710812880,19.8,12.1,3,3,15,15,0,0,,,,,,3,0.5,1.5,0,,,,
2024-03-17,15.7,6.89,6.6,-2.5,,-6,95,63,61.5,28,4.4,-0.6,-0.1,-4.6,29,12.67,16,3,37,15,102.8,102.4,102.29,101.78,89.85,89.47,89.44,89.03,64400,38208.3,44250,24100,3.4,2.5,2.8,2.1,11.4,0,1.6,0,0,0,0,0,0,07:44:00,1710683040,7.73,19:46:00,1710726360,19.77,12.03,3,3,16,16,6,7,,,,,,7,3.8,3.5,0,,,,
2024-03-16,14.2,6.4,6.44,-1.3,,-3,88,62.5,59,30,0.5,-0.9,-1.4,-3.3,24,12.67,13.5,3,46,1,102.82,102.62,102.65,102.48,89.87,89.67,89.71,89.54,64400,42583.3,40250,16100,3.5,2.7,2.8,2.1,11.6,0,1.4,0,0,0,0,0,0,07:46:00,1710596760,7.77,19:44:00,1710639840,19.73,11.97,3,3,12,12,1,1,,,,,,8,5.7,4,0,,,,
2024-03-15,12.4,7.25,6.85,1.3,,,74,54.7,57,40,1.6,-1.5,-1.6,-4.8,23,11.08,12,1,40,9,102.6,102.41,102.37,102.14,89.69,89.51,89.5,89.3,64400,38887.5,44250,24100,3.1,2.6,2.6,2.2,11.2,0,1.8,0,0,0,0,0,0,07:48:00,1710510480,7.8,19:43:00,1710553380,19.72,11.92,3,3,13,13,-1,-1,,,,,,8,5.8,4,0,,,,
2024-03-14,10,3.59,3.2,-3.6,,-7,95,54.6,61.5,28,-2.1,-5.7,-5.9,-9.7,21,11.75,13,5,34,17,103.22,102.81,102.72,102.22,90.05,89.75,89.69,89.32,64400,42575,44250,24100,3.2,2.8,2.8,2.5,14.8,0,0,0,0,0,0,0,0,07:51:00,1710424260,7.85,19:41:00,1710466860,19.68,11.83,2,2,8,8,1,4,,,,,,8,4.6,4,0,,,,
2024-03-13,6.3,1.73,1.45,-3.4,,-7,88,64.9,69,50,-0.9,-4.4,-4.2,-7.5,30,15.67,19,8,51,33,102.97,102.13,102.04,101.11,89.87,89.16,89.09,88.31,64400,30158.3,37050,9700,3.1,2.8,2.8,2.5,16.6,0,0,0,0,0,0,0,0,07:53:00,1710337980,7.88,19:39:00,1710380340,19.65,11.77,2,2,7,7,-3,-3,,,,,,8,4.7,4,0,,,,
2024-03-12,9.9,4.72,4.6,-0.7,,-2,65,43.9,45,25,-5.4,-7.2,-7.3,-9.3,22,9.46,12,2,37,26,101.04,100.57,100.71,100.38,88.23,87.84,87.96,87.68,64400,40891.7,44250,24100,4.1,2.8,3.3,2.5,13.4,0,0,0,0,0,0,0,0,07:55:00,1710251700,7.92,19:38:00,1710293880,19.63,11.72,2,2,9,9,-3,-1,,,,,,7,4.4,4,1,,,,
