date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2024-03-01,-6.12,2.64,30,"1994-03-01 2023-03-01",82.5,7.61,30,"1994-03-01 2023-03-01",1.7,3.57,30,"1994-03-01 2023-03-01",22.19,2.77,30,"1994-03-01 2023-03-01",-12,3.02,30,"1994-03-01 2023-03-01",50.45,7.01,30,"1994-03-01 2023-03-01",-8.05,3.25,30,"1994-03-01 2023-03-01",3.31,0.84,30,"1994-03-01 2023-03-01",14.71,9.73,30,"1994-03-01 2023-03-01",,,,,,,,,,,,,,,,
2024-02-01,-9.8,4.1,30,"1994-02-01 2023-02-01",82.76,7.05,30,"1994-02-01 2023-02-01",-3.42,4.06,30,"1994-02-01 2023-02-01",19.95,2.61,30,"1994-02-01 2023-02-01",-16.48,4.63,30,"1994-02-01 2023-02-01",56.54,6.08,30,"1994-02-01 2023-02-01",-13.19,4.03,30,"1994-02-01 2023-02-01",2.8,0.97,30,"1994-02-01 2023-02-01",9.78,5.8,30,"1994-02-01 2023-02-01",,,,,,,,,,,,,,,,
2024-01-01,-10.54,3.36,30,"1994-01-01 2023-01-01",84.76,5.2,30,"1994-01-01 2023-01-01",-5.55,3.69,30,"1994-01-01 2023-01-01",19.55,3.01,30,"1994-01-01 2023-01-01",-17.28,3.69,30,"1994-01-01 2023-01-01",63.41,6.12,30,"1994-01-01 2023-01-01",-14.58,3.39,30,"1994-01-01 2023-01-01",2.77,0.89,30,"1994-01-01 2023-01-01",18.98,16.65,30,"1994-01-01 2023-01-01",,,,,,,,,,,,,,,,
2023-12-01,-9.99,3.59,30,"1993-12-01 2022-12-01",84.88,4.94,30,"1993-12-01 2022-12-01",-5.01,4.44,30,"1993-12-01 2022-12-01",19.31,3.08,30,"1993-12-01 2022-12-01",-16.29,4.04,30,"1993-12-01 2022-12-01",63.66,6.18,30,"1993-12-01 2022-12-01",-13.52,4.01,30,"1993-12-01 2022-12-01",2.95,0.88,30,"1993-12-01 2022-12-01",13.76,10.89,30,"1993-12-01 2022-12-01",,,,,,,,,,,,,,,,
2023-11-01,-5.06,2.72,30,"1993-11-01 2022-11-01",86.6,4.99,30,"1993-11-01 2022-11-01",0.64,3.42,30,"1993-11-01 2022-11-01",19.93,2.81,30,"1993-11-01 2022-11-01",-10.43,3.03,30,"1993-11-01 2022-11-01",61,7.2,30,"1993-11-01 2022-11-01",-7.59,3.08,30,"1993-11-01 2022-11-01",3.14,0.91,30,"1993-11-01 2022-11-01",17.26,13.44,30,"1993-11-01 2022-11-01",,,,,,,,,,,,,,,,
2023-10-01,1.29,1.18,30,"1993-10-01 2022-10-01",84.25,6,30,"1993-10-01 2022-10-01",10.36,2.62,30,"1993-10-01 2022-10-01",23.42,3.14,30,"1993-10-01 2022-10-01",-3.9,1.42,30,"1993-10-01 2022-10-01",47.75,8.29,30,"1993-10-01 2022-10-01",0.19,1.44,30,"1993-10-01 2022-10-01",3.15,0.59,30,"1993-10-01 2022-10-01",17.59,10.67,30,"1993-10-01 2022-10-01",,,,,,,,,,,,,,,,
2023-09-01,7.57,1.16,30,"1993-09-01 2022-09-01",85.95,4.91,30,"1993-09-01 2022-09-01",17.99,2.51,30,"1993-09-01 2022-09-01",23.13,2.76,30,"1993-09-01 2022-09-01",2.6,1.1,30,"1993-09-01 2022-09-01",45.11,7.22,30,"1993-09-01 2022-09-01",6.43,1.37,30,"1993-09-01 2022-09-01",3.1,0.84,30,"1993-09-01 2022-09-01",31.48,20.88,30,"1993-09-01 2022-09-01",,,,,,,,,,,,,,,,
2023-08-01,12.46,0.99,30,"1993-08-01 2022-08-01",87.76,4.61,30,"1993-08-01 2022-08-01",22.78,1.72,30,"1993-08-01 2022-08-01",22.83,2.29,30,"1993-08-01 2022-08-01",7.86,1.09,30,"1993-08-01 2022-08-01",46.16,6.35,30,"1993-08-01 2022-08-01",11.46,1.12,30,"1993-08-01 2022-08-01",2.88,0.71,30,"1993-08-01 2022-08-01",50.55,29.73,30,"1993-08-01 2022-08-01",,,,,,,,,,,,,,,,
2023-07-01,13.62,1.15,30,"1993-07-01 2022-07-01",87.91,4.28,30,"1993-07-01 2022-07-01",23.72,1.58,30,"1993-07-01 2022-07-01",24.17,2.55,30,"1993-07-01 2022-07-01",8.8,1.28,30,"1993-07-01 2022-07-01",46.23,6.22,30,"1993-07-01 2022-07-01",12.83,1.15,30,"1993-07-01 2022-07-01",3.06,0.71,30,"1993-07-01 2022-07-01",82.4,33.21,30,"1993-07-01 2022-07-01",,,,,,,,,,,,,,,,
2023-06-01,10.3,1,30,"1993-06-01 2022-06-01",84.79,4.69,30,"1993-06-01 2022-06-01",21.2,1.49,30,"1993-06-01 2022-06-01",24.75,2.47,30,"1993-06-01 2022-06-01",4.95,1.41,30,"1993-06-01 2022-06-01",42.23,5.88,30,"1993-06-01 2022-06-01",10.36,0.95,30,"1993-06-01 2022-06-01",3.69,0.75,30,"1993-06-01 2022-06-01",67.49,34.72,30,"1993-06-01 2022-06-01",,,,,,,,,,,,,,,,
