date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2024-03-01,-3.94,1.99,30,"1994-03-01 2023-03-01",82.88,4.99,30,"1994-03-01 2023-03-01",2.68,2.52,30,"1994-03-01 2023-03-01",26.41,2.43,30,"1994-03-01 2023-03-01",-11.61,2.41,30,"1994-03-01 2023-03-01",49.53,4.67,30,"1994-03-01 2023-03-01",-6.84,2.39,30,"1994-03-01 2023-03-01",5.69,1.32,30,"1994-03-01 2023-03-01",61.69,26.26,30,"1994-03-01 2023-03-01",33.68,20.49,30,"1994-03-01 2023-03-01",36.4,26.29,30,"1994-03-01 2023-03-01",18.8,15.68,30,"1994-03-01 2023-03-01",367225,107259.93,9,"2015-03-01 2023-03-01"
2024-02-01,-8.25,2.78,30,"1994-02-01 2023-02-01",84.36,6.1,30,"1994-02-01 2023-02-01",-3.36,2.38,30,"1994-02-01 2023-02-01",26.32,2.78,30,"1994-02-01 2023-02-01",-16.87,3.1,30,"1994-02-01 2023-02-01",55.58,4.99,30,"1994-02-01 2023-02-01",-13.04,2.65,30,"1994-02-01 2023-02-01",5.09,1.42,30,"1994-02-01 2023-02-01",52.07,19.92,30,"1994-02-01 2023-02-01",16.66,15.42,30,"1994-02-01 2023-02-01",49.9,21.52,30,"1994-02-01 2023-02-01",29.6,15.62,30,"1994-02-01 2023-02-01",246943,20070.57,9,"2015-02-01 2023-02-01"
2024-01-01,-9.06,3.48,30,"1994-01-01 2023-01-01",86,6.07,30,"1994-01-01 2023-01-01",-5.42,2.9,30,"1994-01-01 2023-01-01",26.09,2.19,30,"1994-01-01 2023-01-01",-17.55,4.49,30,"1994-01-01 2023-01-01",62.77,6.56,30,"1994-01-01 2023-01-01",-14.31,3.75,30,"1994-01-01 2023-01-01",5.15,1.28,30,"1994-01-01 2023-01-01",64.41,29.64,30,"1994-01-01 2023-01-01",24.69,21.34,30,"1994-01-01 2023-01-01",57.87,19.22,30,"1994-01-01 2023-01-01",24.7,13.16,30,"1994-01-01 2023-01-01",166072,21139.9,9,"2015-01-01 2023-01-01"
2023-12-01,-4.74,2.63,30,"1993-12-01 2022-12-01",89.68,4.31,30,"1993-12-01 2022-12-01",-1.62,2.51,30,"1993-12-01 2022-12-01",25.35,2.47,30,"1993-12-01 2022-12-01",-12,3.07,30,"1993-12-01 2022-12-01",66.83,3.91,30,"1993-12-01 2022-12-01",-9.21,2.87,30,"1993-12-01 2022-12-01",5.03,1.34,30,"1993-12-01 2022-12-01",73.99,26.89,30,"1993-12-01 2022-12-01",35.29,20.42,30,"1993-12-01 2022-12-01",53.77,30.07,30,"1993-12-01 2022-12-01",12.9,13.36,30,"1993-12-01 2022-12-01",117157,13527.55,9,"2014-12-01 2022-12-01"
2023-11-01,1.13,1.99,30,"1993-11-01 2022-11-01",90.14,3.21,30,"1993-11-01 2022-11-01",5.75,2.22,30,"1993-11-01 2022-11-01",24.85,3.56,30,"1993-11-01 2022-11-01",-5.53,2.2,30,"1993-11-01 2022-11-01",60.56,3.88,30,"1993-11-01 2022-11-01",-2.61,2.05,30,"1993-11-01 2022-11-01",4.89,1.36,30,"1993-11-01 2022-11-01",70,22.48,30,"1993-11-01 2022-11-01",55.25,24.29,30,"1993-11-01 2022-11-01",19.38,21.1,30,"1993-11-01 2022-11-01",1.8,2.78,30,"1993-11-01 2022-11-01",161233,14064.92,9,"2014-11-01 2022-11-01"
2023-10-01,7.22,1.62,30,"1993-10-01 2022-10-01",91.68,3.95,30,"1993-10-01 2022-10-01",13.4,1.71,30,"1993-10-01 2022-10-01",23.8,2.6,30,"1993-10-01 2022-10-01",1.11,2,30,"1993-10-01 2022-10-01",56.31,4.36,30,"1993-10-01 2022-10-01",3.65,1.43,30,"1993-10-01 2022-10-01",4.67,1.23,30,"1993-10-01 2022-10-01",88.02,38.55,30,"1993-10-01 2022-10-01",85.6,40.52,30,"1993-10-01 2022-10-01",2.46,6.55,30,"1993-10-01 2022-10-01",0.1,0.31,30,"1993-10-01 2022-10-01",254250,38968.14,9,"2014-10-01 2022-10-01"
2023-09-01,13.73,1.22,30,"1993-09-01 2022-09-01",93.57,3.3,30,"1993-09-01 2022-09-01",21.25,1.58,30,"1993-09-01 2022-09-01",21.16,1.75,30,"1993-09-01 2022-09-01",8.02,1.45,30,"1993-09-01 2022-09-01",54.36,3.39,30,"1993-09-01 2022-09-01",9.78,1.36,30,"1993-09-01 2022-09-01",3.61,0.85,30,"1993-09-01 2022-09-01",86.33,34.83,30,"1993-09-01 2022-09-01",86.41,34.8,30,"1993-09-01 2022-09-01",0,0,30,"1993-09-01 2022-09-01",0,0,30,"1993-09-01 2022-09-01",430819,28392.13,9,"2014-09-01 2022-09-01"
2023-08-01,17.07,1.22,30,"1993-08-01 2022-08-01",92.35,4.14,30,"1993-08-01 2022-08-01",25.88,1.26,30,"1993-08-01 2022-08-01",20.46,1.88,30,"1993-08-01 2022-08-01",12.04,1.28,30,"1993-08-01 2022-08-01",50.77,3.68,30,"1993-08-01 2022-08-01",14.39,1,30,"1993-08-01 2022-08-01",3.19,1.02,30,"1993-08-01 2022-08-01",84.37,35.52,30,"1993-08-01 2022-08-01",84.37,35.52,30,"1993-08-01 2022-08-01",0,0,30,"1993-08-01 2022-08-01",0,0,30,"1993-08-01 2022-08-01",571182,18927.69,9,"2014-08-01 2022-08-01"
2023-07-01,17.42,1.25,30,"1993-07-01 2022-07-01",90.22,4.13,30,"1993-07-01 2022-07-01",26.99,1.67,30,"1993-07-01 2022-07-01",21.53,1.84,30,"1993-07-01 2022-07-01",12.4,1.14,30,"1993-07-01 2022-07-01",48.94,4.92,30,"1993-07-01 2022-07-01",15.39,0.98,30,"1993-07-01 2022-07-01",3.22,1.05,30,"1993-07-01 2022-07-01",92.83,53.28,30,"1993-07-01 2022-07-01",93.11,53.37,30,"1993-07-01 2022-07-01",0,0,30,"1993-07-01 2022-07-01",0,0,30,"1993-07-01 2022-07-01",616479,175690.36,9,"2014-07-01 2022-07-01"
2023-06-01,15.04,1.08,30,"1993-06-01 2022-06-01",89.15,4.25,30,"1993-06-01 2022-06-01",24.42,1.4,30,"1993-06-01 2022-06-01",22.38,2.35,30,"1993-06-01 2022-06-01",9.44,1.44,30,"1993-06-01 2022-06-01",48.47,5.35,30,"1993-06-01 2022-06-01",12.88,1.2,30,"1993-06-01 2022-06-01",3.67,1.23,30,"1993-06-01 2022-06-01",103.48,36.9,30,"1993-06-01 2022-06-01",103.3,36.68,30,"1993-06-01 2022-06-01",0,0,30,"1993-06-01 2022-06-01",0,0,30,"1993-06-01 2022-06-01",579187,163772.45,8,"2015-06-01 2022-06-01"
