date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2024-03-21,-1.3,-6.02,-6.45,-11.6,,-19,100,74.7,77.5,55,-1.5,-10.1,-8.7,-15.9,49,29.12,27,5,55,26,101.71,100.7,100.9,100.09,100.75,99.76,99.96,99.17,48300,17370.8,24750,1200,,,,,24.4,0,0,0,0,0.3,,,34,06:45:00,1711017900,6.75,19:00:00,1711062000,19,12.25,1,1,-8,-5,-15,-14,,,,,,8,6.9,5.5,3,,,,
2024-03-20,1,-2.05,-2.7,-6.4,,-9,100,93,92,84,-0.6,-3.1,-4.1,-7.6,20,9.62,11,2,,,100.21,100.11,100.08,99.95,99.28,99.18,99.15,99.03,40200,13783.3,20500,800,,,,,20.7,0,0,0,0,11.3,,,25,06:47:00,1710931620,6.78,18:59:00,1710975540,18.98,12.2,1,1,3,3,-5,-5,,,,,,8,7.7,6,4,,,,
2024-03-19,0.2,-1.84,-3,-6.2,,-10,78,68.8,69,60,-5.1,-6.9,-6.5,-7.9,35,20.58,18.5,2,42,23,100.22,100.05,100.06,99.9,99.29,99.12,99.14,98.98,48300,37208.3,36200,24100,,,,,21,0,0,0,0,0,,,23,06:49:00,1710845340,6.82,18:57:00,1710889020,18.95,12.13,3,3,0,0,-7,-7,,,,,,8,6.1,5.5,3,,,,
2024-03-18,2.9,1.09,0.85,-1.2,,-4,100,89.1,85,70,0.9,-0.6,-1.8,-4.4,26,17.67,15.5,5,31,24,99.93,99.82,99.81,99.69,99.01,98.9,98.89,98.77,48300,21729.2,25750,3200,,,,,17.1,0,0,0,0,1.1,,,26,06:50:00,1710759000,6.83,18:56:00,1710802560,18.93,12.1,2,2,3,3,-7,-5,,,,,,8,6.6,5,2,,,,
2024-03-17,1.8,0.36,0.5,-0.8,,-7,100,96.8,90.5,81,1,-0.1,-0.9,-2.8,32,15.71,16.5,1,35,7,100.39,99.81,99.9,99.41,99.46,98.9,99.02,98.58,24100,7778.3,12450,800,,,,,17.5,0,0,0,0,15.8,,,26,06:52:00,1710672720,6.87,18:54:00,1710716040,18.9,12.03,1,1,3,3,1,1,,,,,,8,6,5,2,,,,
2024-03-16,2.1,-0.19,0.15,-1.8,,-8,100,82.5,81,62,-0.3,-2.9,-2.9,-5.5,26,11.71,14.5,3,31,6,100.97,100.82,100.73,100.49,100.04,99.89,99.8,99.56,48300,25212.5,24750,1200,,,,,17.9,0,0,0,0,3.7,,,27,06:54:00,1710586440,6.9,18:53:00,1710629580,18.88,11.98,2,2,2,2,-2,-2,,,,,,8,7.6,5.5,3,,,,
2024-03-15,8,2.75,3.75,-0.5,,-2,91,73.3,72,53,-1.2,-1.8,-2,-2.9,22,9.58,11.5,1,32,7,101.6,101.2,101.25,100.9,100.67,100.27,100.32,99.97,48300,37208.3,36200,24100,,,,,14.2,0,0,0,0,0,,,19,06:56:00,1710500160,6.93,18:52:00,1710543120,18.87,11.93,3,3,5,5,0,0,,,,,,8,6.1,5,2,,,,
2024-03-14,6.5,3.31,3,-0.5,,,91,79,76,61,0.4,-0.1,-0.7,-1.8,25,11.88,14.5,4,36,23,101.78,101.65,101.63,101.48,100.85,100.72,100.7,100.55,48300,33495.8,36200,24100,,,,,15,0,0,0,0,0,,,23,06:58:00,1710413880,6.97,18:50:00,1710456600,18.83,11.87,3,3,8,8,-2,-1,,,,,,8,7,6.5,5,,,,
2024-03-13,4.8,0.48,-0.8,-6.4,,-7,95,76.4,76.5,58,-0.6,-3.3,-3.5,-6.3,21,8.42,11,1,,,101.57,101.44,101.36,101.14,100.63,100.5,100.42,100.21,48300,36200,36200,24100,,,,,18.8,0,0,0,0,0,,,28,07:00:00,1710327600,7,18:49:00,1710370140,18.82,11.82,3,3,6,6,1,2,,,,,,8,4.5,4,0,,,,
2024-03-12,3.5,-0.08,-0.19,-3.9,,-8,71,64.7,63,55,-3.8,-6,-6.2,-8.5,22,11.5,13,4,38,30,101.14,100.62,100.62,100.1,100.21,99.69,99.69,99.18,48300,36200,36200,24100,,,,,18.2,0,0,0,0,0,,,32,07:02:00,1710241320,7.03,18:47:00,1710283620,18.78,11.75,2,2,3,3,-8,-7,,,,,,8,5.8,5,2,,,,
