date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2024-03-01,-5.04,1.78,30,"1994-03-01 2023-03-01",84.86,4.17,30,"1994-03-01 2023-03-01",0.63,1.81,30,"1994-03-01 2023-03-01",29.06,2.6,30,"1994-03-01 2023-03-01",-12.97,2.87,30,"1994-03-01 2023-03-01",53.36,4.31,30,"1994-03-01 2023-03-01",-8.92,2.93,30,"1994-03-01 2023-03-01",4.21,1.03,30,"1994-03-01 2023-03-01",82.07,40.09,30,"1994-03-01 2023-03-01",,,,,,,,,55.1,23.05,29,"1994-03-01 2023-03-01",,,,
2024-02-01,-9.41,2.48,30,"1994-02-01 2023-02-01",84.98,4.75,30,"1994-02-01 2023-02-01",-4.91,2.13,30,"1994-02-01 2023-02-01",29.75,2.32,30,"1994-02-01 2023-02-01",-18.81,3.15,30,"1994-02-01 2023-02-01",57.86,4.35,30,"1994-02-01 2023-02-01",-15.48,2.86,30,"1994-02-01 2023-02-01",4.34,1.52,30,"1994-02-01 2023-02-01",79.47,33.82,30,"1994-02-01 2023-02-01",,,,,,,,,57.5,20.09,29,"1994-02-01 2023-02-01",,,,
2024-01-01,-10.39,3.13,30,"1994-01-01 2023-01-01",85.91,4.38,30,"1994-01-01 2023-01-01",-6.85,2.61,30,"1994-01-01 2023-01-01",29.55,2.62,30,"1994-01-01 2023-01-01",-19.51,4.3,30,"1994-01-01 2023-01-01",62.35,4.56,30,"1994-01-01 2023-01-01",-16.26,3.72,30,"1994-01-01 2023-01-01",4.64,1.71,30,"1994-01-01 2023-01-01",84.81,37,30,"1994-01-01 2023-01-01",,,,,,,,,41.2,16.28,30,"1994-01-01 2023-01-01",,,,
2023-12-01,-5.97,2.35,30,"1993-12-01 2022-12-01",90.35,2.62,30,"1993-12-01 2022-12-01",-3.11,2.12,30,"1993-12-01 2022-12-01",27.97,2.88,30,"1993-12-01 2022-12-01",-13.71,3.08,30,"1993-12-01 2022-12-01",67.55,3.35,30,"1993-12-01 2022-12-01",-11.05,3.04,30,"1993-12-01 2022-12-01",3.98,1.39,30,"1993-12-01 2022-12-01",110.83,37.79,30,"1993-12-01 2022-12-01",,,,,,,,,18.8,10.68,30,"1993-12-01 2022-12-01",,,,
2023-11-01,-0.07,1.72,30,"1993-11-01 2022-11-01",91.24,3.53,30,"1993-11-01 2022-11-01",3.9,1.84,30,"1993-11-01 2022-11-01",26.84,2.84,30,"1993-11-01 2022-11-01",-6.46,2.07,30,"1993-11-01 2022-11-01",63.12,4.85,30,"1993-11-01 2022-11-01",-3.64,1.83,30,"1993-11-01 2022-11-01",3.81,1.17,30,"1993-11-01 2022-11-01",94.12,30.91,30,"1993-11-01 2022-11-01",,,,,,,,,3,3.86,30,"1993-11-01 2022-11-01",,,,
2023-10-01,6.22,1.56,30,"1993-10-01 2022-10-01",92.53,2.61,30,"1993-10-01 2022-10-01",11.6,1.82,30,"1993-10-01 2022-10-01",26.22,2.34,30,"1993-10-01 2022-10-01",0.37,1.87,30,"1993-10-01 2022-10-01",59.11,3.46,30,"1993-10-01 2022-10-01",2.54,1.5,30,"1993-10-01 2022-10-01",3.48,1.28,30,"1993-10-01 2022-10-01",109.71,45.99,30,"1993-10-01 2022-10-01",,,,,,,,,0,0,9,"1993-10-01 2009-10-01",,,,
2023-09-01,12.98,1.14,30,"1993-09-01 2022-09-01",93.69,2.31,30,"1993-09-01 2022-09-01",19.25,1.47,30,"1993-09-01 2022-09-01",23.41,1.86,30,"1993-09-01 2022-09-01",6.94,1.23,30,"1993-09-01 2022-09-01",58.14,3.48,30,"1993-09-01 2022-09-01",8.39,1.21,30,"1993-09-01 2022-09-01",2.16,1.02,30,"1993-09-01 2022-09-01",108.93,33.04,30,"1993-09-01 2022-09-01",,,,,,,,,0,0,4,"1993-09-01 2009-09-01",,,,
2023-08-01,16.66,1.04,30,"1993-08-01 2022-08-01",92.83,2.39,30,"1993-08-01 2022-08-01",24.14,1.1,30,"1993-08-01 2022-08-01",23.15,1.6,30,"1993-08-01 2022-08-01",11.32,1.3,30,"1993-08-01 2022-08-01",55.18,3.53,30,"1993-08-01 2022-08-01",12.96,0.97,30,"1993-08-01 2022-08-01",1.88,0.7,30,"1993-08-01 2022-08-01",108.38,40.72,30,"1993-08-01 2022-08-01",,,,,,,,,0,0,3,"1993-08-01 1995-08-01",,,,
2023-07-01,17.22,1,30,"1993-07-01 2022-07-01",92.31,2.21,30,"1993-07-01 2022-07-01",25.11,1.3,30,"1993-07-01 2022-07-01",24.34,1.94,30,"1993-07-01 2022-07-01",11.98,0.96,30,"1993-07-01 2022-07-01",54.1,4.32,30,"1993-07-01 2022-07-01",13.93,0.9,30,"1993-07-01 2022-07-01",2.04,0.99,30,"1993-07-01 2022-07-01",115.43,43.03,30,"1993-07-01 2022-07-01",,,,,,,,,0,0,3,"1993-07-01 1995-07-01",,,,
2023-06-01,14.02,1.11,30,"1993-06-01 2022-06-01",89.99,2.43,30,"1993-06-01 2022-06-01",22.51,1.21,30,"1993-06-01 2022-06-01",25.46,1.71,30,"1993-06-01 2022-06-01",8.02,1.44,30,"1993-06-01 2022-06-01",50.27,4.62,30,"1993-06-01 2022-06-01",10.88,1.18,30,"1993-06-01 2022-06-01",2.58,1.19,30,"1993-06-01 2022-06-01",120.62,43.5,30,"1993-06-01 2022-06-01",,,,,,,,,0,0,4,"1993-06-01 2009-06-01",,,,
