date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2024-03-20,11.8,8.6,8.25,4.7,,,100,83.7,82.5,65,7.9,5.8,5.7,3.4,24,15.33,15.5,7,35,11,101.62,101.53,101.54,101.46,101.57,101.48,101.49,101.41,40200,30508.3,22500,4800,2.7,2.3,2.1,1.5,9.8,0,3.2,1.2,0,1.2,1.2,0,,07:14:00,1710944040,7.23,19:27:00,1710988020,19.45,12.22,3,3,12,12,6,7,,,,,,8,7.2,5,2,,,,
2024-03-19,12,8.36,7.95,3.9,,,100,92.8,88.5,77,8.7,7.2,6.5,4.3,19,10.92,11,3,,,101.9,101.62,101.63,101.36,101.85,101.57,101.58,101.31,48300,39579.2,40250,32200,3,2.2,2.2,1.5,10.1,0,3,1,0,0,0,0,,07:16:00,1710857760,7.27,19:25:00,1710901500,19.42,12.15,3,3,13,13,5,7,,,,,,6,1.7,3,0,,,,
2024-03-18,12.2,8.39,7.65,3.1,,,100,89.5,90.5,81,8.9,6.7,6.2,3.5,24,13.29,13.5,3,31,29,102.43,102.2,102.15,101.88,102.38,102.15,102.11,101.83,48300,40920.8,40250,32200,3.4,2.3,2.5,1.5,10.3,0,2.6,0.6,0,0,0,0,,07:18:00,1710771480,7.3,19:24:00,1710815040,19.4,12.1,4,4,14,15,5,5,,,,,,1,0.6,0.5,0,,,,
2024-03-17,15.1,10,9.85,4.6,,,100,76.9,78.5,57,8.3,5.9,5.3,2.4,12,6.42,6.5,1,,,102.41,102.26,102.21,102.01,102.36,102.21,102.16,101.96,32200,30175,28150,24100,3.2,2.2,2.3,1.4,8.2,0,4.8,2.8,0,0,0,0,,07:20:00,1710685200,7.33,19:22:00,1710728520,19.37,12.03,4,4,15,15,5,5,,,,,,1,0.4,0.5,0,,,,
2024-03-16,16,8.84,8.75,1.5,,,100,87.2,78.5,57,8.9,6.7,5.6,2.3,14,7.04,8,2,,,101.94,101.84,101.82,101.69,101.89,101.79,101.76,101.64,32200,28487.5,28150,24100,4,2.1,2.6,1.2,9.2,0,3.8,1.8,0,0,0,0,,07:22:00,1710598920,7.37,19:21:00,1710642060,19.35,11.98,4,4,14,14,5,6,,,,,,1,0.5,0.5,0,,,,
2024-03-15,11,6.9,6.45,1.9,,,100,90.1,88,76,7.6,5.3,4.5,1.3,21,11.17,11.5,2,,,102.89,102.45,102.42,101.96,102.84,102.4,102.38,101.91,32200,28487.5,28150,24100,10,2,5.6,1.2,11.6,0,1.4,0,0,0,0,0,,07:24:00,1710512640,7.4,19:19:00,1710555540,19.32,11.92,4,4,12,12,4,4,,,,,,6,3.6,3,0,,,,
2024-03-14,9.6,6.03,5.09,0.6,,,98,87,84.5,71,6,4,3.5,0.9,16,7.83,8.5,1,,,103.55,103.29,103.25,102.95,103.5,103.24,103.2,102.9,32200,30175,28150,24100,2.8,2,2,1.2,12.9,0,0.1,0,0,0,0,0,,07:26:00,1710426360,7.43,19:18:00,1710469080,19.3,11.87,3,3,11,11,3,3,,,,,,8,4.7,4.5,1,,,,
2024-03-13,10.2,6.49,6.69,3.2,,,92,79.2,78,64,4.2,3,2.6,1.1,17,9.42,9.5,2,39,20,103.38,102.96,102.82,102.26,103.33,102.91,102.77,102.21,48300,39241.7,40250,32200,2.9,2.3,2.2,1.6,11.3,0,1.7,0,0,0,0,0,,07:28:00,1710340080,7.47,19:16:00,1710382560,19.27,11.8,3,3,10,11,2,2,,,,,,8,6.4,5,2,,,,
2024-03-12,10.9,7.79,8.25,5.6,,,97,81.8,79.5,62,6.5,4.8,4.7,2.8,23,15.88,13,3,37,15,102.15,101.05,101.17,100.2,102.1,101,101.12,100.15,48300,33391.7,30600,12900,2.6,2.2,2,1.5,9.8,0,3.2,1.2,0,2.4,2.4,0,,07:30:00,1710253800,7.5,19:14:00,1710296040,19.23,11.73,1,2,10,11,4,4,,,,,,8,5.8,4.5,1,,,,
2024-03-11,7.5,6.01,5.15,2.8,,,98,89,89.5,81,6.3,4.3,4,1.6,35,22.79,22,9,48,8,100.93,100.53,100.47,100,100.88,100.47,100.41,99.95,48300,25758.3,26550,4800,2.8,2.2,2.2,1.7,12.8,0,0.2,0,0,12.3,12.3,0,,07:33:00,1710167580,7.55,19:13:00,1710209580,19.22,11.67,1,1,7,8,7,7,,,,,,8,7.5,6.5,5,,,,
