date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2024-03-20,9.7,7.5,6.4,3.1,,,100,92,86.5,73,8.6,6.2,6,3.4,20,10.46,11.5,3,,,101.58,101.5,101.51,101.44,101.34,101.26,101.27,101.2,48300,40920.8,40250,32200,2.5,2.3,2.1,1.7,11.6,0,1.4,0,0,0,0,0,,07:15:00,1710944100,7.25,19:28:00,1710988080,19.47,12.22,3,3,11,11,7,7,,,,,,8,7,4.5,1,,,,
2024-03-19,13.6,8.39,8.25,2.9,,,100,89.3,83.5,67,8.8,6.5,6.3,3.8,16,7.5,8.5,1,,,101.88,101.61,101.61,101.33,101.64,101.37,101.36,101.09,48300,41591.7,40250,32200,2.5,2,2,1.5,9.8,0,3.2,1.2,0,0,0,0,,07:17:00,1710857820,7.28,19:26:00,1710901560,19.43,12.15,3,3,17,17,5,6,,,,,,6,1.3,3,0,,,,
2024-03-18,15.6,9.67,9.65,3.7,,,100,81.8,77.5,55,7.7,6.3,6.1,4.5,13,7.54,7,1,,,102.42,102.19,102.15,101.89,102.18,101.95,101.92,101.65,48300,45616.7,40250,32200,3,2.2,2.4,1.7,8.3,0,4.7,2.6,0,0,0,0,,07:19:00,1710771540,7.32,19:25:00,1710815100,19.42,12.1,4,4,17,17,5,5,,,,,,1,0.7,0.5,0,,,,
2024-03-17,16.2,10.1,10.1,4,,,100,81.6,78.5,57,9.1,6.8,7,4.9,14,7.75,8.5,3,,,102.38,102.24,102.17,101.97,102.14,102,101.94,101.74,48300,48300,48300,48300,2.6,2.2,2.1,1.6,7.9,0,5.1,3.1,0.1,0,0,0,,07:21:00,1710685260,7.35,19:23:00,1710728580,19.38,12.03,4,4,18,19,5,5,,,,,,1,0.3,0.5,0,,,,
2024-03-16,19,10.75,10.95,2.9,,,100,76.7,70.5,41,8.2,6.1,6.3,4.4,15,8.17,8.5,2,,,101.95,101.81,101.81,101.66,101.71,101.57,101.57,101.43,48300,44275,40250,32200,2.6,1.9,2,1.4,7,0,6,4,0.9,0,0,0,,07:23:00,1710598980,7.38,19:22:00,1710642120,19.37,11.98,4,4,16,16,5,5,,,,,,3,1,1.5,0,,,,
2024-03-15,14.8,8.32,8.6,2.4,,,100,83.7,77,54,7.4,5.3,5.3,3.3,15,9.46,9.5,4,,,102.89,102.42,102.42,101.95,102.65,102.18,102.18,101.71,48300,41591.7,40250,32200,2.3,1.9,2,1.7,9.4,0,3.6,1.6,0,0,0,0,,07:25:00,1710512700,7.42,19:20:00,1710555600,19.33,11.92,4,4,13,13,6,6,,,,,,7,3.5,3.5,0,,,,
2024-03-14,10.7,6.1,6.05,1.4,,,100,85.5,80.5,61,5.5,3.5,3.6,1.7,13,7.92,7.5,2,,,103.51,103.27,103.22,102.93,103.27,103.03,102.98,102.69,48300,41591.7,40250,32200,2.7,2.1,2.1,1.6,11.9,0,1.1,0,0,0,0,0,,07:27:00,1710426420,7.45,19:19:00,1710469140,19.32,11.87,3,3,11,11,3,3,,,,,,7,4.8,4,1,,,,
2024-03-13,9.9,5.27,5.05,0.2,,,100,83.3,78.5,57,5.1,2.4,2.8,0.6,15,8.62,8.5,2,,,103.36,102.95,102.83,102.3,103.12,102.71,102.59,102.06,48300,40920.8,40250,32200,3.3,2.7,2.8,2.2,12.9,0,0,0,0,0,0,0,,07:29:00,1710340140,7.48,19:17:00,1710382620,19.28,11.8,3,3,10,11,2,2,,,,,,7,3.8,4,1,,,,
2024-03-12,10.7,7.09,7.69,4.7,,,100,79.8,79,58,6.8,3.6,3.6,0.4,29,14.17,18,7,40,25,102.2,101.11,101.19,100.19,101.96,100.87,100.96,99.96,48300,38558.3,36200,24100,2.6,2.3,2.1,1.7,10.3,0,2.7,0.7,0,2.6,2.6,0,,07:31:00,1710253860,7.52,19:16:00,1710296160,19.27,11.75,2,2,9,9,2,4,,,,,,8,5.5,4.5,1,,,,
2024-03-11,8.8,6.94,6.8,4.8,,,100,87.2,86,72,7.7,4.9,4.3,0.9,35,19.96,20,5,63,15,100.9,100.44,100.38,99.86,100.67,100.21,100.15,99.63,48300,34537.5,36200,24100,2.7,2.2,2.2,1.8,11.2,0,1.8,0,0,0.6,0.6,0,,07:33:00,1710167580,7.55,19:14:00,1710209640,19.23,11.68,1,1,8,8,4,6,,,,,,8,6.6,5,2,,,,
2024-03-10,10.1,7.59,7.5,4.9,,,100,90,86.5,73,8,6,5.8,3.6,46,17.22,23.5,1,68,14,100.72,100.23,100.31,99.89,100.49,100,100.08,99.66,48300,37787,36200,24100,2.3,2.2,2.2,2.1,10.5,0,2.5,0.5,0,1.3,1.3,0,,07:35:00,1710081300,7.58,19:13:00,1710123180,19.22,11.63,1,1,10,10,5,5,,,,,,8,7.3,6.5,5,,,,
2024-03-09,12.3,6.97,8,3.7,,,100,86.2,80,60,8.1,4.6,5.5,3,45,16.83,23.5,2,64,14,101,100.48,100.54,100.08,100.76,100.24,100.31,99.85,48300,40250,40250,32200,2.6,2.1,2,1.5,10,0,3,1,0,1,1,0,,06:37:00,1709995020,6.62,18:11:00,1710036660,18.18,11.57,1,1,10,10,5,5,,,,,,8,7.5,6,4,,,,
