date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2024-03-01,5.01,1.21,30,"1994-03-01 2023-03-01",92.38,3.18,30,"1994-03-01 2023-03-01",10.65,1.06,30,"1994-03-01 2023-03-01",22.27,2.88,30,"1994-03-01 2023-03-01",0.35,1.41,30,"1994-03-01 2023-03-01",59.24,4.31,30,"1994-03-01 2023-03-01",2.71,1.04,30,"1994-03-01 2023-03-01",1.64,0.87,30,"1994-03-01 2023-03-01",79.88,38.86,30,"1994-03-01 2023-03-01",77.04,37.08,30,"1994-03-01 2023-03-01",2.81,5.24,30,"1994-03-01 2023-03-01",0.1,0.36,30,"1994-03-01 2023-03-01",,,,
2024-02-01,3.85,1.58,30,"1994-02-01 2023-02-01",93.77,3.09,30,"1994-02-01 2023-02-01",8.46,1.42,30,"1994-02-01 2023-02-01",21.31,3.8,30,"1994-02-01 2023-02-01",-0.82,2.07,30,"1994-02-01 2023-02-01",63.94,4.61,30,"1994-02-01 2023-02-01",1.25,1.42,30,"1994-02-01 2023-02-01",1.62,1.01,30,"1994-02-01 2023-02-01",87.14,43.73,30,"1994-02-01 2023-02-01",78.4,42.74,30,"1994-02-01 2023-02-01",8.76,15.77,30,"1994-02-01 2023-02-01",0.6,2.02,30,"1994-02-01 2023-02-01",,,,
2024-01-01,4.64,1.36,30,"1994-01-01 2023-01-01",95.69,2.9,30,"1994-01-01 2023-01-01",7.68,1.11,30,"1994-01-01 2023-01-01",20.77,3.27,30,"1994-01-01 2023-01-01",0.4,1.63,30,"1994-01-01 2023-01-01",73.7,4.7,30,"1994-01-01 2023-01-01",1.73,1.14,30,"1994-01-01 2023-01-01",1.69,0.75,30,"1994-01-01 2023-01-01",145.67,56.6,30,"1994-01-01 2023-01-01",136.07,54.36,30,"1994-01-01 2023-01-01",9.51,13.84,30,"1994-01-01 2023-01-01",0.6,1.27,30,"1994-01-01 2023-01-01",,,,
2023-12-01,4.13,1.27,30,"1993-12-01 2022-12-01",95.19,2.72,30,"1993-12-01 2022-12-01",7.11,1.23,30,"1993-12-01 2022-12-01",22.64,3.4,30,"1993-12-01 2022-12-01",-0.19,1.69,30,"1993-12-01 2022-12-01",72.6,3.59,30,"1993-12-01 2022-12-01",1.3,1.36,30,"1993-12-01 2022-12-01",1.92,0.89,30,"1993-12-01 2022-12-01",150.49,51.33,30,"1993-12-01 2022-12-01",137.77,47.82,30,"1993-12-01 2022-12-01",13.07,26.95,30,"1993-12-01 2022-12-01",1.1,2.65,30,"1993-12-01 2022-12-01",,,,
2023-11-01,6.33,1.36,30,"1993-11-01 2022-11-01",95.72,2.49,30,"1993-11-01 2022-11-01",9.85,1.06,30,"1993-11-01 2022-11-01",21.21,3.44,30,"1993-11-01 2022-11-01",1.8,1.78,30,"1993-11-01 2022-11-01",70.44,4.33,30,"1993-11-01 2022-11-01",3.07,1.51,30,"1993-11-01 2022-11-01",1.36,0.9,30,"1993-11-01 2022-11-01",147.89,74.36,30,"1993-11-01 2022-11-01",144.51,71.83,30,"1993-11-01 2022-11-01",3.58,8.34,30,"1993-11-01 2022-11-01",0.2,0.58,30,"1993-11-01 2022-11-01",,,,
2023-10-01,9.19,0.96,30,"1993-10-01 2022-10-01",95.24,2.65,30,"1993-10-01 2022-10-01",14.31,1.03,30,"1993-10-01 2022-10-01",18.69,2.3,30,"1993-10-01 2022-10-01",4.83,1.27,30,"1993-10-01 2022-10-01",65.24,4.28,30,"1993-10-01 2022-10-01",6.11,1.01,30,"1993-10-01 2022-10-01",0.92,0.55,30,"1993-10-01 2022-10-01",99.45,60.86,30,"1993-10-01 2022-10-01",99.45,60.86,30,"1993-10-01 2022-10-01",0,0,30,"1993-10-01 2022-10-01",0,0,30,"1993-10-01 2022-10-01",,,,
2023-09-01,11.96,0.9,30,"1993-09-01 2022-09-01",93.27,3.16,30,"1993-09-01 2022-09-01",19.76,1.11,30,"1993-09-01 2022-09-01",17.05,1.81,30,"1993-09-01 2022-09-01",7.84,0.96,30,"1993-09-01 2022-09-01",56.84,4.66,30,"1993-09-01 2022-09-01",9.4,0.9,30,"1993-09-01 2022-09-01",0.55,0.64,30,"1993-09-01 2022-09-01",41.55,32.24,30,"1993-09-01 2022-09-01",41.55,32.24,30,"1993-09-01 2022-09-01",0,0,30,"1993-09-01 2022-09-01",0,0,30,"1993-09-01 2022-09-01",,,,
2023-08-01,13.2,0.72,30,"1993-08-01 2022-08-01",90.52,3.31,30,"1993-08-01 2022-08-01",22.7,0.83,30,"1993-08-01 2022-08-01",18.44,1.49,30,"1993-08-01 2022-08-01",9.66,0.84,30,"1993-08-01 2022-08-01",52.13,3.26,30,"1993-08-01 2022-08-01",11.69,0.69,30,"1993-08-01 2022-08-01",0.47,0.42,30,"1993-08-01 2022-08-01",19.61,20.73,30,"1993-08-01 2022-08-01",19.61,20.73,30,"1993-08-01 2022-08-01",0,0,30,"1993-08-01 2022-08-01",0,0,30,"1993-08-01 2022-08-01",,,,
2023-07-01,12.87,0.75,30,"1993-07-01 2022-07-01",89.03,3.4,30,"1993-07-01 2022-07-01",22.79,1.08,30,"1993-07-01 2022-07-01",19.18,1.5,30,"1993-07-01 2022-07-01",9.33,0.76,30,"1993-07-01 2022-07-01",50.54,3.93,30,"1993-07-01 2022-07-01",11.84,0.75,30,"1993-07-01 2022-07-01",0.72,0.52,30,"1993-07-01 2022-07-01",15.8,13.67,30,"1993-07-01 2022-07-01",15.8,13.67,30,"1993-07-01 2022-07-01",0,0,30,"1993-07-01 2022-07-01",0,0,30,"1993-07-01 2022-07-01",,,,
2023-06-01,11.23,0.85,30,"1993-06-01 2022-06-01",88.46,3.86,30,"1993-06-01 2022-06-01",20.28,1.4,30,"1993-06-01 2022-06-01",20.19,1.68,30,"1993-06-01 2022-06-01",7.1,0.76,30,"1993-06-01 2022-06-01",50.81,4.32,30,"1993-06-01 2022-06-01",10.26,0.71,30,"1993-06-01 2022-06-01",1.06,0.57,30,"1993-06-01 2022-06-01",28.49,13.82,30,"1993-06-01 2022-06-01",28.49,13.82,30,"1993-06-01 2022-06-01",0,0,30,"1993-06-01 2022-06-01",0,0,30,"1993-06-01 2022-06-01",,,,
