date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2024-03-20,11.4,5.23,6.2,1,,,99,80.2,77.5,56,3.2,1.9,1.7,0.2,9,4.38,4.5,0,,,101.49,101.39,101.38,101.28,93.71,93.63,93.62,93.53,24100,24100,24100,24100,2.2,1.4,1.6,1,11.8,0,1.2,0,0,0,,,21,07:13:00,1710943980,7.22,19:26:00,1710987960,19.43,12.22,3,3,8,10,3,3,,,,,,8,7.2,5,2,,,,
2024-03-19,16.5,5.68,7,-2.5,,,100,70.2,66.5,33,1.8,-0.5,-0.5,-2.8,9,2.31,4.5,0,,,102.09,101.66,101.71,101.34,94.26,93.87,93.92,93.59,24100,24100,24100,24100,2,1.2,1.5,1,11,0,2,0,0,0,0,0,24,07:15:00,1710857700,7.25,19:25:00,1710901500,19.42,12.17,3,3,15,15,0,2,,,,,,5,2.8,2.5,0,,,,
2024-03-18,17.5,5.19,7.75,-2,,,100,70.9,64.5,29,1.1,-1,-0.8,-2.6,5,1.31,2.5,0,,,102.66,102.35,102.34,102.01,94.75,94.5,94.48,94.21,24100,24100,24100,24100,2,1.3,1.5,1,10.2,0,2.8,0.8,0,0,0,0,25,07:17:00,1710771420,7.28,19:23:00,1710814980,19.38,12.1,3,3,16,16,1,1,,,,,,0,0,0,0,,,,
2024-03-17,18,5.58,8,-2,,-2,100,71.5,64,28,1.5,-0.5,-0.5,-2.5,5,2.08,2.5,0,,,102.66,102.48,102.48,102.3,94.73,94.62,94.62,94.5,24100,24100,24100,24100,2.3,1.8,1.6,1,10,0,3,1,0,0,0,0,25,07:19:00,1710685140,7.32,19:22:00,1710728520,19.37,12.05,4,4,16,16,1,1,,,,,,0,0,0,0,,,,
2024-03-16,15,4.7,6.5,-2,,-3,100,74,68.5,37,1,-0.5,-0.4,-1.8,8,4.23,4,0,,,102.5,102.25,102.23,101.96,94.62,94.39,94.4,94.18,24100,24100,24100,24100,3,1.7,2,1,11.5,0,1.5,0,0,0,0,0,27,07:21:00,1710598860,7.35,19:20:00,1710642000,19.33,11.98,4,4,16,16,0,0,,,,,,0,0,0,0,,,,
2024-03-15,13.4,3.92,5.85,-1.7,,,97,79.4,72.5,48,2.4,0.1,0.1,-2.2,,,,,,,103.06,102.73,102.72,102.39,95.11,94.81,94.81,94.51,,,,,2,1.5,1.5,1,12.2,0,0.8,0,0,0.1,,,29,07:24:00,1710512640,7.4,19:18:00,1710555480,19.3,11.9,3,3,15,15,2,2,,,,,,,,,,,,,
2024-03-14,10.8,2.14,3.85,-3.1,,,100,80.9,74.5,49,1.3,-1.3,-0.9,-3.1,4,1.23,2,0,,,103.61,103.33,103.33,103.06,95.59,95.35,95.34,95.1,24100,24100,24100,24100,2,1.6,1.5,1,14.2,0,0,0,0,0.1,,,30,07:26:00,1710426360,7.43,19:17:00,1710469020,19.28,11.85,3,3,9,9,-1,-1,,,,,,8,4.2,4,0,,,,
2024-03-13,6.5,2.26,3,-0.5,,,100,81.2,77,54,1.3,-1,-0.6,-2.6,9,3.85,4.5,0,,,103.44,102.86,102.8,102.15,95.43,94.92,94.84,94.25,24100,24100,24100,24100,2.3,1.6,1.6,1,15,0,0,0,0,0,0,0,31,07:28:00,1710340080,7.47,19:15:00,1710382500,19.25,11.78,2,3,6,7,-4,-3,,,,,,8,7.2,6.5,5,,,,
2024-03-12,5,1.78,2.5,0,,,100,92.5,89.5,79,2.9,0.6,1.4,-0.2,5,3.08,2.5,0,,,102.07,100.92,101.08,100.1,94.16,93.12,93.26,92.35,24100,20638.5,12850,1600,3,1.8,2,1,15.5,0,0,0,0,3.8,3.8,0,34,07:30:00,1710253800,7.5,19:14:00,1710296040,19.23,11.73,1,1,2,5,-2,-2,,,,,,8,7.6,6.5,5,,,,
2024-03-11,3,1.44,2,1,,,98,92.5,89,80,1.2,0.3,0.2,-0.7,9,3.08,4.5,0,,,100.74,100.41,100.38,100.03,92.97,92.66,92.62,92.27,24100,24100,24100,24100,2.3,1.9,1.9,1.5,16,0,0,0,0,7.4,0,8,34,07:32:00,1710167520,7.53,19:12:00,1710209520,19.2,11.67,1,1,3,4,1,2,,,,,,8,7.9,7.5,7,,,,
2024-03-10,3.3,1.16,1.7,0.1,,,100,98.6,97.5,95,2.8,1,1.3,-0.2,8,0.62,4,0,,,100.51,100.19,100.22,99.92,92.72,92.44,92.46,92.2,12900,5569.2,7250,1600,2.2,1.9,1.9,1.6,16.3,0,0,0,0,8.6,,,38,07:34:00,1710081240,7.57,19:10:00,1710123000,19.17,11.6,1,1,3,3,0,0,,,,,,8,6.9,6,4,,,,
2024-03-09,2.6,0.76,1.35,0.1,,,100,97.8,95.5,91,2.2,0.5,1,-0.2,9,1.91,4.5,0,,,101.19,100.5,100.68,100.17,93.33,92.71,92.88,92.43,4800,3345.5,4000,3200,2.5,2,1.8,1.2,16.6,0,0,0,0,16.9,,,42,06:37:00,1709995020,6.62,18:09:00,1710036540,18.15,11.53,,,3,3,-1,-1,,,,,,8,8,8,8,,,,
2024-03-08,1.8,-0.28,-0.09,-2,,,98,94.8,94,90,0.4,-1,-1.2,-2.9,,,,,,,102.46,102.02,101.86,101.27,94.49,94.09,93.95,93.41,,,,,2.2,1.9,2,1.7,18.1,0,0,0,0,21,,,29,06:39:00,1709908740,6.65,18:07:00,1709950020,18.12,11.47,,,2,2,1,1,,,,,,,,,,,,,
2024-03-07,2.5,-2.98,-3.84,-10.2,,,94,74.8,74,54,-3.1,-7.1,-7,-11,9,3.45,4.5,0,,,102.5,102.35,102.33,102.16,94.51,94.36,94.35,94.19,24100,24100,24100,24100,5,2.1,3.2,1.5,21.8,0,0,0,0,0,,,29,06:41:00,1709822460,6.68,18:05:00,1709863500,18.08,11.4,2,2,2,2,-4,-3,,,,,,8,3.5,4,0,,,,
2024-03-06,1.5,-2.78,-2.25,-6,,-4,91,72.8,71.5,52,-5.6,-7.3,-7.2,-8.7,4,2.55,2,0,,,102.09,101.94,101.95,101.82,94.12,93.98,94.02,93.91,24100,24100,24100,24100,2.2,1.9,1.9,1.6,20.2,0,0,0,0,0,0,0,24,06:43:00,1709736180,6.72,18:04:00,1709777040,18.07,11.35,2,2,1,2,-5,-5,,,,,,8,5.5,4.5,1,,,,
2024-03-05,0,-4.66,-5,-10,,-6,95,80.2,77,59,-5.3,-7.7,-8.1,-10.9,4,1.45,2,0,,,101.9,101.72,101.74,101.59,93.94,93.75,93.78,93.63,24100,24100,24100,24100,3,2,2.2,1.5,23,0,0,0,0,0,0,0,25,06:45:00,1709649900,6.75,18:02:00,1709690520,18.03,11.28,1,1,2,2,-8,-8,,,,,,2,0.9,1,0,,,,
2024-03-04,-0.9,-4.59,-4.05,-7.2,,-9,91,80.5,76.5,62,-6.3,-7.6,-7.6,-8.9,8,4.09,4,0,,,101.58,101.25,101.14,100.7,93.63,93.32,93.22,92.82,24100,24100,24100,24100,3,1.9,2.3,1.6,22.1,0,0,0,0,3.3,,,34,06:47:00,1709563620,6.78,18:00:00,1709604000,18,11.22,1,1,0,0,-9,-9,,,,,,8,8,8,8,,,,
2024-03-03,1,-3.77,-2,-5,,-6,98,89.5,85.5,73,-3.5,-5.3,-5.2,-6.8,5,3,2.5,0,,,100.67,100.42,100.42,100.16,92.79,92.59,92.56,92.34,24100,16936.4,13650,3200,2.5,1.8,2,1.6,20,0,0,0,0,1,0,1,0,06:49:00,1709477340,6.82,17:59:00,1709517540,17.98,11.17,1,1,-1,0,-5,-5,,,,,,8,8,8,8,,,,
2024-03-02,1,-2.37,-2.5,-6,,-1,100,92.2,91.5,83,-0.7,-3.5,-3.6,-6.6,4,1.09,2,0,,,100.11,99.58,99.69,99.26,92.3,91.82,91.91,91.51,24100,18918.2,12450,800,3,2.2,2.5,1.9,20.5,0,0,0,0,1,0,1,32,06:51:00,1709391060,6.85,17:57:00,1709431020,17.95,11.1,1,1,0,0,-4,-4,,,,,,8,8,8,8,,,,
2024-03-01,2.6,-1.59,-1.35,-5.3,,,97,92.5,88.5,80,0.1,-2.7,-3.5,-7.1,,,,,,,99.7,99.6,99.58,99.47,91.93,91.84,91.81,91.7,,,,,2.6,2,2.1,1.6,19.4,0,0,0,0,7.8,,,32,06:53:00,1709304780,6.88,17:56:00,1709344560,17.93,11.05,,,0,0,-5,-5,,,,,,,,,,,,,
