date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2024-03-01,0.63,1.4,30,"1994-03-01 2023-03-01",95.26,2.19,30,"1994-03-01 2023-03-01",6.47,1.76,30,"1994-03-01 2023-03-01",10.81,2.15,30,"1994-03-01 2023-03-01",-3.86,1.8,30,"1994-03-01 2023-03-01",61.11,8.08,30,"1994-03-01 2023-03-01",-2.25,1.31,30,"1994-03-01 2023-03-01",0.26,0.32,30,"1994-03-01 2023-03-01",116.04,61.93,30,"1994-03-01 2023-03-01",61.9,40.58,30,"1994-03-01 2023-03-01",48.53,26.55,30,"1994-03-01 2023-03-01",59.8,34.36,30,"1994-03-01 2023-03-01",,,,
2024-02-01,-1.13,2.21,30,"1994-02-01 2023-02-01",94.38,2.79,30,"1994-02-01 2023-02-01",2.76,2.05,30,"1994-02-01 2023-02-01",9.48,1.65,30,"1994-02-01 2023-02-01",-5.82,2.95,30,"1994-02-01 2023-02-01",69.16,7.74,30,"1994-02-01 2023-02-01",-4.19,2.14,30,"1994-02-01 2023-02-01",0.39,0.55,30,"1994-02-01 2023-02-01",94.17,54.49,30,"1994-02-01 2023-02-01",32.71,28.13,29,"1994-02-01 2023-02-01",63.87,52.44,29,"1994-02-01 2023-02-01",67.2,30.7,30,"1994-02-01 2023-02-01",,,,
2024-01-01,-1.49,1.65,30,"1994-01-01 2023-01-01",96.09,1.87,30,"1994-01-01 2023-01-01",0.56,1.53,30,"1994-01-01 2023-01-01",7.42,2.16,30,"1994-01-01 2023-01-01",-5.22,2.27,30,"1994-01-01 2023-01-01",82.95,4.1,30,"1994-01-01 2023-01-01",-4.44,2.02,30,"1994-01-01 2023-01-01",0.24,0.32,30,"1994-01-01 2023-01-01",174.36,65.28,30,"1994-01-01 2023-01-01",75.91,54,30,"1994-01-01 2023-01-01",94.52,51.24,30,"1994-01-01 2023-01-01",60.1,25.79,30,"1994-01-01 2023-01-01",,,,
2023-12-01,-2.33,2.1,30,"1993-12-01 2022-12-01",95.65,2.32,30,"1993-12-01 2022-12-01",-0.45,1.66,30,"1993-12-01 2022-12-01",7.33,2.07,30,"1993-12-01 2022-12-01",-5.93,2.61,30,"1993-12-01 2022-12-01",83.5,5.19,30,"1993-12-01 2022-12-01",-4.96,2,30,"1993-12-01 2022-12-01",0.33,0.47,30,"1993-12-01 2022-12-01",167.07,60.52,30,"1993-12-01 2022-12-01",61.33,48.76,30,"1993-12-01 2022-12-01",109.81,52.18,30,"1993-12-01 2022-12-01",33.2,18.9,30,"1993-12-01 2022-12-01",,,,
2023-11-01,1.13,1.69,30,"1993-11-01 2022-11-01",96.52,2.2,30,"1993-11-01 2022-11-01",3.62,1.44,30,"1993-11-01 2022-11-01",8.18,2.05,30,"1993-11-01 2022-11-01",-2.52,2.23,30,"1993-11-01 2022-11-01",79.58,6.78,30,"1993-11-01 2022-11-01",-1.49,1.71,30,"1993-11-01 2022-11-01",0.25,0.3,30,"1993-11-01 2022-11-01",213.29,94.89,30,"1993-11-01 2022-11-01",142.28,75.09,30,"1993-11-01 2022-11-01",58.57,42.18,30,"1993-11-01 2022-11-01",6.8,6.16,30,"1993-11-01 2022-11-01",,,,
2023-10-01,5.83,1.09,30,"1993-10-01 2022-10-01",97.16,1.53,30,"1993-10-01 2022-10-01",10.89,1.77,30,"1993-10-01 2022-10-01",9.5,1.74,30,"1993-10-01 2022-10-01",1.47,1.38,30,"1993-10-01 2022-10-01",66.87,7.22,30,"1993-10-01 2022-10-01",2.52,1.06,30,"1993-10-01 2022-10-01",0.14,0.2,30,"1993-10-01 2022-10-01",157.28,73.42,30,"1993-10-01 2022-10-01",149.34,72.34,30,"1993-10-01 2022-10-01",4.98,9.16,30,"1993-10-01 2022-10-01",0.1,0.26,29,"1993-10-01 2022-10-01",,,,
2023-09-01,9.8,0.85,30,"1993-09-01 2022-09-01",96.05,1.8,30,"1993-09-01 2022-09-01",19.65,2.3,30,"1993-09-01 2022-09-01",10.98,1.83,30,"1993-09-01 2022-09-01",5.18,1.03,30,"1993-09-01 2022-09-01",50.24,7.61,30,"1993-09-01 2022-09-01",6.58,0.93,30,"1993-09-01 2022-09-01",0.15,0.2,30,"1993-09-01 2022-09-01",83.5,58.46,30,"1993-09-01 2022-09-01",81.12,59.06,29,"1993-09-01 2022-09-01",0.07,0.38,29,"1993-09-01 2022-09-01",0.1,0.54,30,"1993-09-01 2022-09-01",,,,
2023-08-01,11.84,0.78,30,"1993-08-01 2022-08-01",93.6,2.27,30,"1993-08-01 2022-08-01",24.58,1.71,30,"1993-08-01 2022-08-01",12.31,2.32,30,"1993-08-01 2022-08-01",7.56,1.08,30,"1993-08-01 2022-08-01",41.9,6,30,"1993-08-01 2022-08-01",9.83,1.08,30,"1993-08-01 2022-08-01",0.21,0.23,30,"1993-08-01 2022-08-01",46.66,38.48,30,"1993-08-01 2022-08-01",45.76,37.4,30,"1993-08-01 2022-08-01",0,0,30,"1993-08-01 2022-08-01",0,0,28,"1993-08-01 2022-08-01",,,,
2023-07-01,11.78,0.78,30,"1993-07-01 2022-07-01",92.74,2.58,30,"1993-07-01 2022-07-01",24.66,2.19,30,"1993-07-01 2022-07-01",12.89,2.12,29,"1993-07-01 2022-07-01",7.54,1.05,30,"1993-07-01 2022-07-01",41.84,7.19,30,"1993-07-01 2022-07-01",10,0.84,30,"1993-07-01 2022-07-01",0.19,0.19,29,"1993-07-01 2022-07-01",38.31,25.3,30,"1993-07-01 2022-07-01",37.02,23.96,29,"1993-07-01 2022-07-01",0,0,29,"1993-07-01 2022-07-01",0,0,28,"1993-07-01 2022-07-01",,,,
2023-06-01,9.42,0.74,30,"1993-06-01 2022-06-01",93.23,1.76,30,"1993-06-01 2022-06-01",20.12,2.25,30,"1993-06-01 2022-06-01",12.89,2.27,30,"1993-06-01 2022-06-01",5.18,0.77,30,"1993-06-01 2022-06-01",46.41,6.36,30,"1993-06-01 2022-06-01",7.69,0.78,30,"1993-06-01 2022-06-01",0.27,0.24,30,"1993-06-01 2022-06-01",56.16,25.26,30,"1993-06-01 2022-06-01",56.09,25.11,29,"1993-06-01 2022-06-01",0,0,29,"1993-06-01 2022-06-01",0.1,0.73,29,"1993-06-01 2022-06-01",,,,
