Date_key,date_iso,date_yearmonth,year,month,day,day_of_week
1,1990-01-01,1990-01,1990,1,1,Monday
2,1990-01-02,1990-01,1990,1,2,Tuesday
3,1990-01-03,1990-01,1990,1,3,Wednesday
4,1990-01-04,1990-01,1990,1,4,Thursday
5,1990-01-05,1990-01,1990,1,5,Friday
6,1990-01-06,1990-01,1990,1,6,Saturday
7,1990-01-07,1990-01,1990,1,7,Sunday
8,1990-01-08,1990-01,1990,1,8,Monday
9,1990-01-09,1990-01,1990,1,9,Tuesday
10,1990-01-10,1990-01,1990,1,10,Wednesday
11,1990-01-11,1990-01,1990,1,11,Thursday
12,1990-01-12,1990-01,1990,1,12,Friday
13,1990-01-13,1990-01,1990,1,13,Saturday
14,1990-01-14,1990-01,1990,1,14,Sunday
15,1990-01-15,1990-01,1990,1,15,Monday
16,1990-01-16,1990-01,1990,1,16,Tuesday
17,1990-01-17,1990-01,1990,1,17,Wednesday
18,1990-01-18,1990-01,1990,1,18,Thursday
19,1990-01-19,1990-01,1990,1,19,Friday
20,1990-01-20,1990-01,1990,1,20,Saturday
21,1990-01-21,1990-01,1990,1,21,Sunday
22,1990-01-22,1990-01,1990,1,22,Monday
23,1990-01-23,1990-01,1990,1,23,Tuesday
24,1990-01-24,1990-01,1990,1,24,Wednesday
25,1990-01-25,1990-01,1990,1,25,Thursday
26,1990-01-26,1990-01,1990,1,26,Friday
27,1990-01-27,1990-01,1990,1,27,Saturday
28,1990-01-28,1990-01,1990,1,28,Sunday
29,1990-01-29,1990-01,1990,1,29,Monday
30,1990-01-30,1990-01,1990,1,30,Tuesday
31,1990-01-31,1990-01,1990,1,31,Wednesday
32,1990-02-01,1990-02,1990,2,1,Thursday
33,1990-02-02,1990-02,1990,2,2,Friday
34,1990-02-03,1990-02,1990,2,3,Saturday
35,1990-02-04,1990-02,1990,2,4,Sunday
36,1990-02-05,1990-02,1990,2,5,Monday
37,1990-02-06,1990-02,1990,2,6,Tuesday
38,1990-02-07,1990-02,1990,2,7,Wednesday
39,1990-02-08,1990-02,1990,2,8,Thursday
40,1990-02-09,1990-02,1990,2,9,Friday
41,1990-02-10,1990-02,1990,2,10,Saturday
42,1990-02-11,1990-02,1990,2,11,Sunday
43,1990-02-12,1990-02,1990,2,12,Monday
44,1990-02-13,1990-02,1990,2,13,Tuesday
45,1990-02-14,1990-02,1990,2,14,Wednesday
46,1990-02-15,1990-02,1990,2,15,Thursday
47,1990-02-16,1990-02,1990,2,16,Friday
48,1990-02-17,1990-02,1990,2,17,Saturday
49,1990-02-18,1990-02,1990,2,18,Sunday
50,1990-02-19,1990-02,1990,2,19,Monday
51,1990-02-20,1990-02,1990,2,20,Tuesday
52,1990-02-21,1990-02,1990,2,21,Wednesday
53,1990-02-22,1990-02,1990,2,22,Thursday
54,1990-02-23,1990-02,1990,2,23,Friday
55,1990-02-24,1990-02,1990,2,24,Saturday
56,1990-02-25,1990-02,1990,2,25,Sunday
57,1990-02-26,1990-02,1990,2,26,Monday
