Economy_key,Location_key,Date_key,year,Sector,GDP,GDP per capita,GDP growth rate
1,76,2558,1997,Air transportation,509.5,180.04500595084966,0.0
2,77,2923,1998,Air transportation,533.1,183.88681044170778,4.631992149165853
3,78,3288,1999,Air transportation,546.3,185.01760427433678,2.4760832864378024
4,79,3653,2000,Air transportation,562.2,187.1381313748295,2.910488742449213
5,80,4019,2001,Air transportation,503.8,164.71836037552387,-10.387762362148711
6,81,4384,2002,Air transportation,501.0,160.12748832843204,-0.5557761016276364
7,82,4749,2003,Air transportation,515.5,161.93932631355412,2.894211576846306
8,83,5114,2004,Air transportation,607.0,187.4141082994192,17.74975751697381
9,84,5480,2005,Air transportation,687.9,207.08408806086027,13.327841845140021
10,85,5845,2006,Air transportation,819.0,239.37324543649083,19.058002616659397
11,86,6210,2007,Air transportation,896.4,255.0829489114156,9.450549450549438
12,87,6575,2008,Air transportation,988.7,274.95394027879166,10.296742525658198
13,88,6941,2009,Air transportation,878.4,238.75988377308025,-11.156063517750592
14,89,7306,2010,Air transportation,1044.9,279.976120708319,18.954918032786907
15,90,7671,2011,Air transportation,1232.3,325.3421266967728,17.934730596229297
16,91,8036,2012,Air transportation,1334.8,344.7361237124372,8.31777976142174
17,92,8402,2013,Air transportation,1276.0,320.721311277627,-4.405154330236738
18,93,8767,2014,Air transportation,1418.8,347.636802358873,11.191222570532911
19,94,9132,2015,Air transportation,1483.2,357.38493118436526,4.539047082041159
20,95,9497,2016,Air transportation,1601.8,381.7966562163994,7.996224379719519
21,96,9863,2017,Air transportation,1732.5,408.8678902416863,8.159570483206391
22,97,10228,2018,Air transportation,1772.0,412.80766051741665,2.279942279942282
23,98,10593,2019,Air transportation,1715.2,393.8120626526705,-3.205417607223471
24,99,10958,2020,Air transportation,414.1,93.95359495586496,-75.85704291044776
25,100,11324,2021,Air transportation,307.9,69.47937405831077,-25.64597923206956
26,101,11689,2022,Air transportation,802.5,177.90276909816708,160.63657031503737
27,76,2558,1997,All industries,179308.9,63363.43860164928,0.0
28,77,2923,1998,All industries,187987.2,64844.05667204541,4.839860151950082
29,78,3288,1999,All industries,190677.3,64577.44322807797,1.4310016852211005
30,79,3653,2000,All industries,202139.8,67285.77810117709,6.011465444497066
31,80,4019,2001,All industries,205808.2,67289.37922953135,1.8147836299432507
32,81,4384,2002,All industries,210882.8,67401.46326480452,2.465693786739287
33,82,4749,2003,All industries,218607.4,68673.39492368119,3.6629824717805404
34,83,5114,2004,All industries,231212.5,71387.94813044393,5.766090260439505
35,84,5480,2005,All industries,241869.7,72811.98757676095,4.60926636751906
36,85,5845,2006,All industries,257661.3,75307.96288691733,6.528969937119022
37,86,6210,2007,All industries,262663.9,74744.62537324094,1.9415410851377546
38,87,6575,2008,All industries,266091.1,73998.98494803072,1.3047853169011692
39,88,6941,2009,All industries,251892.3,68467.41378794839,-5.336067234116437
40,89,7306,2010,All industries,264768.2,70943.41422425528,5.1116687568457
41,90,7671,2011,All industries,282609.3,74612.27841133351,6.738384745600112
42,91,8036,2012,All industries,293905.0,75906.25594823483,3.996931452715824
43,92,8402,2013,All industries,310841.5,78129.69708425118,5.762576342695769
44,93,8767,2014,All industries,329038.9,80621.6739834233,5.8542376098429605
45,94,9132,2015,All industries,317547.0,76514.6391200119,-3.4925657726183834
46,95,9497,2016,All industries,305977.7,72931.24156373118,-3.643334687463584
47,96,9863,2017,All industries,319003.0,75284.3195329112,4.2569442152156745
48,97,10228,2018,All industries,325595.9,75851.28767102864,2.066720375670461
49,98,10593,2019,All industries,325646.7,74768.88912257194,0.015602162066530312
50,99,10958,2020,All industries,300061.9,68079.91841170551,-7.856612703276278
51,100,11324,2021,All industries,314194.3,70899.7184043167,4.70982820544692
52,101,11689,2022,All industries,330819.7,73337.99464451702,5.291439087214522
53,76,2558,1997,All transportation,8447.7,2985.213340080457,0.0
54,77,2923,1998,All transportation,8807.9,3038.185401781125,4.263882476887182
55,78,3288,1999,All transportation,9029.7,3058.1245859710393,2.518193894117804
56,79,3653,2000,All transportation,9669.5,3218.6626846832332,7.0855067167237
57,80,4019,2001,All transportation,9962.0,3257.094692459247,3.0249754382336125
58,81,4384,2002,All transportation,10172.8,3251.3870524300864,2.116040955631382
59,82,4749,2003,All transportation,10513.7,3302.776906038436,3.3510931110412256
60,83,5114,2004,All transportation,10923.1,3372.5585607337493,3.8939669193528426
61,84,5480,2005,All transportation,11920.7,3588.584515986476,9.132938451538486
62,85,5845,2006,All transportation,12919.8,3776.134867387514,8.381219223703296
63,86,6210,2007,All transportation,13113.1,3731.5129600293217,1.4961531912258685
64,87,6575,2008,All transportation,12504.7,3477.512427434213,-4.639635173986312
65,88,6941,2009,All transportation,12226.4,3323.285340349714,-2.225563188241231
66,89,7306,2010,All transportation,12724.0,3409.3369316610683,4.069881567755029
67,90,7671,2011,All transportation,13565.0,3581.324311159396,6.609556743162526
68,91,8036,2012,All transportation,14131.6,3649.7400403466268,4.176925912274232
69,92,8402,2013,All transportation,14215.9,3573.152107360202,0.5965354241557863
70,93,8767,2014,All transportation,15317.5,3753.120045201605,7.749069703641709
71,94,9132,2015,All transportation,15255.6,3675.917985555692,-0.4041129427125867
72,95,9497,2016,All transportation,15303.1,3647.5667435042965,0.31136107396627644
73,96,9863,2017,All transportation,16304.2,3847.771345499857,6.541811789768093
74,97,10228,2018,All transportation,16720.0,3895.115171473593,2.550263122385643
75,98,10593,2019,All transportation,17611.1,4043.530560041071,5.329545454545448
76,99,10958,2020,All transportation,14476.3,3284.4733800038343,-17.800137413335904
77,100,11324,2021,All transportation,14976.6,3379.5543797391915,3.4559935895221994
78,101,11689,2022,All transportation,16176.1,3586.009947923814,8.009160957760763
79,76,2558,1997,Ground transportation,781.6,276.19858027710325,0.0
80,77,2923,1998,Ground transportation,777.0,268.0173545548808,-0.5885363357216011
81,78,3288,1999,Ground transportation,875.6,296.54295131358094,12.689832689832702
82,79,3653,2000,Ground transportation,924.7,307.80261487425264,5.60758337140248
83,80,4019,2001,Ground transportation,848.9,277.54945637709847,-8.197253163188067
84,81,4384,2002,Ground transportation,992.0,317.05881920519874,16.857109200141362
85,82,4749,2003,Ground transportation,1034.4,324.9467296580803,4.274193548387095
86,83,5114,2004,Ground transportation,998.4,308.26070136102163,-3.480278422273797
87,84,5480,2005,Ground transportation,1094.4,329.45606334322645,9.615384615384626
88,85,5845,2006,Ground transportation,1095.4,320.15806233349457,0.09137426900585055
89,86,6210,2007,Ground transportation,1162.0,330.6630819222054,6.079970786927147
90,87,6575,2008,Ground transportation,1251.3,347.9820627802691,7.685025817555924
91,88,6941,2009,Ground transportation,1117.5,303.75019366623087,-10.692879405418365
92,89,7306,2010,Ground transportation,1134.0,303.85005348189657,1.4765100671140896
93,90,7671,2011,Ground transportation,1144.3,302.1090607637078,0.9082892416225619
94,91,8036,2012,Ground transportation,1234.6,318.8576703141856,7.891287249847068
95,92,8402,2013,Ground transportation,1304.0,327.7590829984527,5.621253847399976
96,93,8767,2014,Ground transportation,1355.4,332.10242593545,3.941717791411059
97,94,9132,2015,Ground transportation,1322.9,318.7597933278026,-2.3978161428360623
98,95,9497,2016,Ground transportation,1305.4,311.1483050473766,-1.322851311512585
99,96,9863,2017,Ground transportation,1277.1,301.3940448067288,-2.1679178795771525
100,97,10228,2018,Ground transportation,1238.6,288.54603178153064,-3.0146425495262696
101,98,10593,2019,Ground transportation,1208.7,277.519029925538,-2.4140158243177723
102,99,10958,2020,Ground transportation,614.7,139.4669761395078,-49.14370811615786
103,100,11324,2021,Ground transportation,608.7,137.35659301491967,-0.9760858955588092
104,101,11689,2022,Ground transportation,858.7,190.3615050773783,41.07113520617709
105,76,2558,1997,Water Transportation,5.7,2.014242461079182,0.0
106,77,2923,1998,Water Transportation,7.6,2.62153396990617,33.33333333333333
107,78,3288,1999,Water Transportation,6.1,2.0659113784979946,-19.736842105263165
108,79,3653,2000,Water Transportation,2.3,0.7655953435825468,-62.295081967213115
109,80,4019,2001,Water Transportation,1.7,0.5558182069043084,-26.086956521739125
110,81,4384,2002,Water Transportation,2.2,0.7031546393663681,29.41176470588236
111,82,4749,2003,Water Transportation,3.7,1.1623191219401556,68.18181818181816
112,83,5114,2004,Water Transportation,3.1,0.9571395975752875,-16.216216216216218
113,84,5480,2005,Water Transportation,2.2,0.6622837530656964,-29.032258064516125
114,85,5845,2006,Water Transportation,2.3,0.6722325573918546,4.545454545454519
115,86,6210,2007,Water Transportation,2.1,0.5975838829919374,-8.695652173913038
116,87,6575,2008,Water Transportation,2.1,0.5840025028678695,0.0
117,88,6941,2009,Water Transportation,1.8,0.4892620569120497,-14.28571428571429
118,89,7306,2010,Water Transportation,1.3,0.3483289854730736,-27.77777777777778
119,90,7671,2011,Water Transportation,1.4,0.3696169580260342,7.692307692307687
120,91,8036,2012,Water Transportation,1.4,0.36157519718115977,0.0
121,92,8402,2013,Water Transportation,1.4,0.3518885860412836,0.0
122,93,8767,2014,Water Transportation,1.5,0.3675325652229416,7.14285714285714
123,94,9132,2015,Water Transportation,1.3,0.3132419164911508,-13.33333333333333
124,95,9497,2016,Water Transportation,1.0,0.23835476102909192,-23.076923076923084
125,96,9863,2017,Water Transportation,1.1,0.25959866047091196,10.000000000000009
126,97,10228,2018,Water Transportation,1.2,0.2795537204406885,9.090909090909083
127,98,10593,2019,Water Transportation,1.5,0.3444018738217151,25.0
128,99,10958,2020,Water Transportation,1.2,0.2722634966120211,-20.000000000000007
129,100,11324,2021,Water Transportation,1.3,0.29335234256513154,8.333333333333348
130,101,11689,2022,Water Transportation,1.5,0.33252854037040575,15.384615384615374
131,42,2558,1997,Air transportation,1070.6,271.13524016083744,0.0
132,43,2923,1998,Air transportation,1104.5,277.2956730075195,3.166448720343751
133,44,3288,1999,Air transportation,1075.7,268.1624131376398,-2.6075147125396048
134,45,3653,2000,Air transportation,1126.4,278.86503120644284,4.713210002788881
135,46,4019,2001,Air transportation,1077.0,264.1715658187013,-4.385653409090917
136,47,4384,2002,Air transportation,987.7,240.87282929122858,-8.29155060352832
137,48,4749,2003,Air transportation,883.3,214.16204402675075,-10.570011136984924
138,49,5114,2004,Air transportation,1009.6,242.94751938935855,14.298652779350164
139,50,5480,2005,Air transportation,1137.7,271.13426925537095,12.688193343898568
140,51,5845,2006,Air transportation,1186.9,279.8109195804699,4.324514371099597
141,52,6210,2007,Air transportation,1181.1,275.25135825394017,-0.4886679585474951
142,53,6575,2008,Air transportation,1225.7,281.813002346564,3.776140885615109
143,54,6941,2009,Air transportation,1151.2,261.01272119592437,-6.078159419107454
144,55,7306,2010,Air transportation,1296.8,290.40050322949634,12.647671994440568
145,56,7671,2011,Air transportation,1476.8,327.8995004017701,13.880320789636036
146,57,8036,2012,Air transportation,1588.8,347.5927756359517,7.583965330444209
147,58,8402,2013,Air transportation,1587.0,342.39903273891395,-0.11329305135950873
148,59,8767,2014,Air transportation,1818.3,385.8305159408924,14.574669187145561
149,60,9132,2015,Air transportation,1844.1,386.9711122004284,1.4189077709948927
150,61,9497,2016,Air transportation,2036.7,418.9646777415527,10.444119082479265
151,62,9863,2017,Air transportation,2193.1,444.4690347091586,7.679088721952176
152,63,10228,2018,Air transportation,2178.4,433.85961184063905,-0.6702840727736858
153,64,10593,2019,Air transportation,2073.7,405.730986875032,-4.80627983841353
154,65,10958,2020,Air transportation,388.5,75.05649522681261,-81.26537107585476
155,66,11324,2021,Air transportation,277.3,53.054863856780564,-28.622908622908618
156,67,11689,2022,Air transportation,803.3,149.9733770651444,189.68626036783266
157,42,2558,1997,All industries,153769.7,38943.00816267507,0.0
158,43,2923,1998,All industries,155181.9,38959.95418658722,0.9183863921175428
159,44,3288,1999,All industries,160325.8,39967.79159265838,3.3147551357471494
160,45,3653,2000,All industries,167910.7,41569.977446196426,4.7309291455274405
161,46,4019,2001,All industries,168673.8,41373.093647716305,0.4544677617328574
162,47,4384,2002,All industries,175073.6,42695.62961040887,3.7941873604555143
163,48,4749,2003,All industries,179363.1,43487.79363633476,2.4501124098664784
164,49,5114,2004,All industries,186714.1,44930.39563194991,4.09839036011308
165,50,5480,2005,All industries,195662.8,46629.946645389646,4.792728562010029
166,51,5845,2006,All industries,204628.0,48240.920761574176,4.581964481751255
167,52,6210,2007,All industries,210576.1,49074.04753265391,2.9067869499775245
168,53,6575,2008,All industries,211850.2,48708.608068630216,0.6050544197560903
169,54,6941,2009,All industries,206248.3,46762.88223161342,-2.6442741144450332
170,55,7306,2010,All industries,211782.0,47425.66268888741,2.6830281752625362
171,56,7671,2011,All industries,217798.2,48358.55970233262,2.840751338640679
172,57,8036,2012,All industries,223426.2,48880.49660611359,2.58404339429803
173,58,8402,2013,All industries,228683.0,49338.902333858256,2.35281269609382
174,59,8767,2014,All industries,236813.4,50250.143707703304,3.5553145620793813
175,60,9132,2015,All industries,242317.3,50848.54134071085,2.3241505759386882
176,61,9497,2016,All industries,249577.9,51340.07190303602,2.9963192888002643
177,62,9863,2017,All industries,258784.6,52447.10289526047,3.688908352862974
178,63,10228,2018,All industries,268545.6,53484.708858571204,3.7718627769967705
179,64,10593,2019,All industries,276139.0,54028.137621008085,2.827601718292927
180,65,10958,2020,All industries,267449.6,51670.089126931634,-3.1467485577915566
181,66,11324,2021,All industries,286289.7,54774.83251748486,7.044355272918734
182,67,11689,2022,All industries,297321.8,55508.96853116825,3.8534742954426937
183,42,2558,1997,All transportation,8956.2,2268.206088108063,0.0
184,43,2923,1998,All transportation,9012.0,2262.5519286045865,0.623032089502229
185,44,3288,1999,All transportation,9293.8,2316.861425321741,3.126941855304022
186,45,3653,2000,All transportation,9908.6,2453.0913070065335,6.6151627967032
187,46,4019,2001,All transportation,9884.5,2424.5161024465674,-0.2432230587570472
188,47,4384,2002,All transportation,10025.6,2444.967740550918,1.4274874803986037
189,48,4749,2003,All transportation,10069.8,2441.4909441192963,0.44087136929460424
190,49,5114,2004,All transportation,10393.3,2501.016693016462,3.2125762179983752
191,50,5480,2005,All transportation,11268.4,2685.46136914584,8.419847401691483
192,51,5845,2006,All transportation,11378.2,2682.403408181399,0.9744063043555462
193,52,6210,2007,All transportation,11440.6,2666.193115942789,0.5484171485823808
194,53,6575,2008,All transportation,11202.9,2575.77130128769,-2.0776882331346336
195,54,6941,2009,All transportation,11201.4,2539.7045649791758,-0.0133893902471649
196,55,7306,2010,All transportation,11461.2,2566.577920738667,2.3193529380256095
197,56,7671,2011,All transportation,11809.1,2622.0192241295663,3.035458765225285
198,57,8036,2012,All transportation,12066.4,2639.849866524199,2.1788281918181607
199,58,8402,2013,All transportation,12670.9,2733.7768770834937,5.009779221640254
200,59,8767,2014,All transportation,13351.9,2833.179599511192,5.374519568460023
201,60,9132,2015,All transportation,13868.6,2910.2258915800994,3.8698612182535896
202,61,9497,2016,All transportation,14113.9,2903.336556771493,1.7687437809151607
203,62,9863,2017,All transportation,15589.2,3159.4166594719877,10.452816018251522
204,63,10228,2018,All transportation,15906.8,3168.0674227078025,2.037307879814221
205,64,10593,2019,All transportation,16049.5,3140.1743134739,0.8971006110594315
206,65,10958,2020,All transportation,11820.8,2283.7266892589614,-26.34786130409047
207,66,11324,2021,All transportation,12331.7,2359.382129905016,4.322042501353551
