Location_key,Date_key,location,population
1,1,Canada,27691138.0
2,366,Canada,28037420.0
3,731,Canada,28371264.0
4,1097,Canada,28684764.0
5,1462,Canada,29000663.0
6,1827,Canada,29302311.0
7,2192,Canada,29610218.0
8,2558,Canada,29905948.0
9,2923,Canada,30155173.0
10,3288,Canada,30401286.0
11,3653,Canada,30685730.0
12,4019,Canada,31020855.0
13,4384,Canada,31359199.0
14,4749,Canada,31642461.0
15,5114,Canada,31938807.0
16,5480,Canada,32242732.0
17,5845,Canada,32571193.0
18,6210,Canada,32888886.0
19,6575,Canada,33247298.0
20,6941,Canada,33630069.0
21,7306,Canada,34005902.0
22,7671,Canada,34339221.0
23,8036,Canada,34713395.0
24,8402,Canada,35080992.0
25,8767,Canada,35434066.0
26,9132,Canada,35704498.0
27,9497,Canada,36110803.0
28,9863,Canada,36545075.0
29,10228,Canada,37072620.0
30,10593,Canada,37618495.0
31,10958,Canada,38028638.0
32,11324,Canada,38239864.0
33,11689,Canada,38939056.0
34,12054,Canada,40097761.0
35,1,British Columbia,3292111.0
36,366,British Columbia,3373787.0
37,731,British Columbia,3468802.0
38,1097,British Columbia,3567772.0
39,1462,British Columbia,3676075.0
40,1827,British Columbia,3777390.0
41,2192,British Columbia,3874317.0
42,2558,British Columbia,3948583.0
43,2923,British Columbia,3983113.0
44,3288,British Columbia,4011375.0
45,3653,British Columbia,4039230.0
46,4019,British Columbia,4076896.0
47,4384,British Columbia,4100504.0
48,4749,British Columbia,4124447.0
49,5114,British Columbia,4155630.0
50,5480,British Columbia,4196076.0
51,5845,British Columbia,4241793.0
52,6210,British Columbia,4290987.0
53,6575,British Columbia,4349338.0
54,6941,British Columbia,4410513.0
55,7306,British Columbia,4465557.0
56,7671,British Columbia,4503819.0
57,8036,British Columbia,4570866.0
58,8402,British Columbia,4634943.0
59,8767,British Columbia,4712691.0
60,9132,British Columbia,4765472.0
61,9497,British Columbia,4861269.0
62,9863,British Columbia,4934202.0
63,10228,British Columbia,5020979.0
64,10593,British Columbia,5111022.0
65,10958,British Columbia,5176101.0
66,11324,British Columbia,5226665.0
67,11689,British Columbia,5356284.0
68,12054,British Columbia,5519013.0
69,1,Alberta,2547788.0
70,366,Alberta,2592306.0
71,731,Alberta,2632672.0
72,1097,Alberta,2667292.0
73,1462,Alberta,2700606.0
74,1827,Alberta,2734519.0
75,2192,Alberta,2775133.0
76,2558,Alberta,2829848.0
77,2923,Alberta,2899066.0
78,3288,Alberta,2952692.0
79,3653,Alberta,3004198.0
80,4019,Alberta,3058554.0
81,4384,Alberta,3128757.0
82,4749,Alberta,3183291.0
83,5114,Alberta,3238817.0
84,5480,Alberta,3321839.0
85,5845,Alberta,3421435.0
86,6210,Alberta,3514151.0
87,6575,Alberta,3595875.0
88,6941,Alberta,3679010.0
89,7306,Alberta,3732104.0
90,7671,Alberta,3787705.0
91,8036,Alberta,3871947.0
92,8402,Alberta,3978532.0
93,8767,Alberta,4081271.0
94,9132,Alberta,4150147.0
95,9497,Alberta,4195427.0
96,9863,Alberta,4237310.0
97,10228,Alberta,4292556.0
98,10593,Alberta,4355377.0
99,10958,Alberta,4407495.0
100,11324,Alberta,4431531.0
101,11689,Alberta,4510891.0
102,12054,Alberta,4695290.0
103,1,Ontario,10295832.0
104,366,Ontario,10431316.0
105,731,Ontario,10572205.0
106,1097,Ontario,10690038.0
107,1462,Ontario,10819146.0
108,1827,Ontario,10950119.0
109,2192,Ontario,11082903.0
110,2558,Ontario,11227651.0
111,2923,Ontario,11365901.0
112,3288,Ontario,11504759.0
113,3653,Ontario,11683290.0
114,4019,Ontario,11897473.0
115,4384,Ontario,12093412.0
116,4749,Ontario,12243641.0
117,5114,Ontario,12389641.0
118,5480,Ontario,12527581.0
119,5845,Ontario,12661953.0
120,6210,Ontario,12765133.0
121,6575,Ontario,12883824.0
122,6941,Ontario,12998941.0
123,7306,Ontario,13136481.0
124,7671,Ontario,13262345.0
125,8036,Ontario,13392364.0
126,8402,Ontario,13511902.0
127,8767,Ontario,13617763.0
128,9132,Ontario,13709293.0
129,9497,Ontario,13876500.0
130,9863,Ontario,14078499.0
131,10228,Ontario,14326746.0
132,10593,Ontario,14573565.0
133,10958,Ontario,14761811.0
134,11324,Ontario,14842488.0
135,11689,Ontario,15145006.0
136,12054,Ontario,15608369.0
137,1,Quebec,6996986.0
138,366,Quebec,7067396.0
139,731,Quebec,7110010.0
140,1097,Quebec,7156537.0
141,1462,Quebec,7192403.0
142,1827,Quebec,7219219.0
143,2192,Quebec,7246897.0
144,2558,Quebec,7274611.0
145,2923,Quebec,7295935.0
146,3288,Quebec,7323250.0
147,3653,Quebec,7356951.0
148,4019,Quebec,7396014.0
149,4384,Quebec,7441305.0
150,4749,Quebec,7485488.0
151,5114,Quebec,7535483.0
152,5480,Quebec,7581467.0
153,5845,Quebec,7631901.0
154,6210,Quebec,7692400.0
155,6575,Quebec,7761614.0
156,6941,Quebec,7843915.0
157,7306,Quebec,7929479.0
158,7671,Quebec,8004736.0
159,8036,Quebec,8059752.0
160,8402,Quebec,8108825.0
161,8767,Quebec,8147535.0
162,9132,Quebec,8175743.0
163,9497,Quebec,8225036.0
164,9863,Quebec,8292832.0
165,10228,Quebec,8386951.0
166,10593,Quebec,8483186.0
167,10958,Quebec,8551095.0
168,11324,Quebec,8572020.0
169,11689,Quebec,8672185.0
170,12054,Quebec,8874683.0
