Weather_key,Location_key,Date_key,max_temperature_v,min_temperature_v,avg_temperature_v,precipitation_v,snow_v,location
1,69,1,-5.37,-15.01,-10.19,30.4,,banff
2,69,32,0.1,-11.32,-5.61,23.65,,banff
3,69,60,3.72,-8.04,-2.1599999999999993,21.54,,banff
4,69,91,8.89,-2.83,3.0300000000000002,33.26,,banff
5,69,121,14.15,1.45,7.8,54.5,,banff
6,69,152,18.72,5.38,12.049999999999999,58.17,,banff
7,69,182,22.26,7.38,14.82,49.1,,banff
8,69,213,21.46,6.73,14.095,51.66,,banff
9,69,244,15.93,2.61,9.27,44.78,,banff
10,69,274,10.24,-0.97,4.635,28.52,,banff
11,69,305,0.52,-8.25,-3.865,28.85,,banff
12,69,335,-5.06,-13.56,-9.31,34.09,,banff
13,70,366,-5.29,-14.87,-10.08,31.01,,banff
14,70,397,0.12,-11.31,-5.595000000000001,23.85,,banff
15,70,425,3.82,-7.94,-2.0600000000000005,21.51,,banff
16,70,456,8.95,-2.8,3.0749999999999997,32.39,,banff
17,70,486,14.18,1.48,7.83,57.47,,banff
18,70,517,18.74,5.4,12.07,60.02,,banff
19,70,547,22.15,7.39,14.77,51.16,,banff
20,70,578,21.58,6.77,14.174999999999999,51.32,,banff
21,70,609,16.11,2.65,9.379999999999999,43.8,,banff
22,70,639,10.13,-1.07,4.53,30.34,,banff
23,70,670,0.52,-8.2,-3.84,30.45,,banff
24,70,700,-5.29,-13.76,-9.525,34.64,,banff
25,71,731,-5.47,-15.01,-10.24,30.22,,banff
26,71,762,0.26,-11.13,-5.4350000000000005,21.49,,banff
27,71,791,3.76,-8.04,-2.1399999999999997,22.09,,banff
28,71,822,9.06,-2.75,3.1550000000000002,32.05,,banff
29,71,852,14.14,1.47,7.805000000000001,57.89,,banff
30,71,883,18.51,5.33,11.920000000000002,62.36,,banff
31,71,913,22.16,7.37,14.765,50.78,,banff
32,71,944,21.58,6.84,14.209999999999999,51.62,,banff
33,71,975,16.29,2.71,9.5,43.4,,banff
34,71,1005,10.17,-1.13,4.52,28.9,,banff
35,71,1036,0.57,-8.07,-3.75,29.69,,banff
36,71,1066,-5.14,-13.52,-9.33,33.21,,banff
37,72,1097,-5.28,-14.75,-10.015,29.19,,banff
38,72,1128,0.46,-10.91,-5.225,21.12,,banff
39,72,1156,4.04,-7.81,-1.8849999999999998,21.49,,banff
40,72,1187,9.07,-2.74,3.165,32.32,,banff
41,72,1217,14.19,1.5,7.845,58.95,,banff
42,72,1248,18.55,5.38,11.965,63.84,,banff
43,72,1278,22.09,7.4,14.745000000000001,52.14,,banff
44,72,1309,21.63,6.82,14.225,51.08,,banff
45,72,1340,16.15,2.74,9.445,43.19,,banff
46,72,1370,10.11,-1.15,4.4799999999999995,29.6,,banff
47,72,1401,0.45,-8.18,-3.8649999999999998,28.38,,banff
48,72,1431,-5.39,-13.81,-9.6,32.85,,banff
49,73,1462,-5.2,-14.7,-9.95,28.62,,banff
50,73,1493,0.2,-11.25,-5.525,20.93,,banff
51,73,1521,4.02,-7.84,-1.9100000000000001,22.12,,banff
52,73,1552,9.08,-2.73,3.175,33.95,,banff
53,73,1582,14.29,1.57,7.93,59.26,,banff
54,73,1613,18.49,5.34,11.915,64.32,,banff
55,73,1643,21.94,7.37,14.655000000000001,53.19,,banff
56,73,1674,21.49,6.79,14.139999999999999,52.62,,banff
57,73,1705,16.01,2.62,9.315000000000001,43.02,,banff
58,73,1735,10.07,-1.22,4.425,30.24,,banff
59,73,1766,0.4,-8.21,-3.9050000000000002,27.28,,banff
60,73,1796,-5.33,-13.67,-9.5,32.92,,banff
61,74,1827,-5.12,-14.67,-9.895,28.62,,banff
62,74,1858,-0.08,-11.54,-5.81,21.79,,banff
63,74,1886,4.24,-7.63,-1.6949999999999998,22.61,,banff
64,74,1917,9.18,-2.67,3.255,33.63,,banff
65,74,1947,14.37,1.58,7.975,58.6,,banff
66,74,1978,18.47,5.29,11.879999999999999,64.64,,banff
67,74,2008,22.01,7.34,14.675,52.51,,banff
68,74,2039,21.56,6.82,14.19,54.69,,banff
69,74,2070,16.25,2.69,9.47,41.21,,banff
70,74,2100,9.97,-1.24,4.365,31.05,,banff
